
    STEP   DAMPING               NORMS              COMPUTATION TIMES
  IT SIT     GAMMA     ||d||     ||f||     ||U||   F(x)  DF(x)  SOLVE
   0                          0.00e+00  3.14e-02    0.0    0.0    0.0

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   3.1416e-02      1  EP      0.0000e+00   3.1416e-02
   31  00:00:00   4.3748e-02      2  SN      2.1528e-02   3.1416e-02
   31  00:00:00   4.3748e-02      3  BP      2.1528e-02   3.1416e-02
   32  00:00:00   4.4632e-02      4  SN      2.2418e-02   3.1416e-02
   32  00:00:00   4.4632e-02      5  BP      2.2418e-02   3.1416e-02
   33  00:00:01   4.5479e-02      6  SN      2.3253e-02   3.1416e-02
   33  00:00:01   4.5479e-02      7  BP      2.3253e-02   3.1416e-02
   36  00:00:01   4.7294e-02      8  SN      2.4997e-02   3.1416e-02
   36  00:00:01   4.7294e-02      9  BP      2.4997e-02   3.1416e-02
   39  00:00:01   4.9434e-02     10  HB      2.6989e-02   3.1416e-02
   39  00:00:01   4.9434e-02     11  UZ      2.6989e-02   3.1416e-02
   44  00:00:02   5.3428e-02     12  SN      3.0558e-02   3.1416e-02
   44  00:00:02   5.3428e-02     13  BP      3.0558e-02   3.1416e-02
   52  00:00:02   6.0157e-02     14  SN      3.6276e-02   3.1416e-02
   52  00:00:02   6.0157e-02     15  BP      3.6276e-02   3.1416e-02
   56  00:00:02   6.3412e-02     16  SN      3.8950e-02   3.1416e-02
   56  00:00:02   6.3412e-02     17  BP      3.8950e-02   3.1416e-02
   62  00:00:03   6.9455e-02     18  SN      4.3801e-02   3.1416e-02
   62  00:00:03   6.9455e-02     19  BP      4.3801e-02   3.1416e-02
   66  00:00:03   7.2829e-02     20  HB      4.6461e-02   3.1416e-02
   66  00:00:03   7.2829e-02     21  UZ      4.6461e-02   3.1416e-02
   68  00:00:03   7.4677e-02     22  SN      4.7905e-02   3.1416e-02
   68  00:00:03   7.4677e-02     23  BP      4.7905e-02   3.1416e-02
   70  00:00:04   7.6334e-02     24  SN      4.9193e-02   3.1416e-02
   70  00:00:04   7.6334e-02     25  BP      4.9193e-02   3.1416e-02
   71  00:00:04   7.7160e-02     26  SN      4.9833e-02   3.1416e-02
   71  00:00:04   7.7160e-02     27  BP      4.9833e-02   3.1416e-02
   72  00:00:04   7.8081e-02     28  SN      5.0546e-02   3.1416e-02
   72  00:00:04   7.8081e-02     29  BP      5.0546e-02   3.1416e-02
   87  00:00:05   9.2324e-02     30  SN      6.1387e-02   3.1416e-02
   87  00:00:05   9.2324e-02     31  BP      6.1387e-02   3.1416e-02
   88  00:00:05   9.3332e-02     32  SN      6.2144e-02   3.1416e-02
   88  00:00:05   9.3332e-02     33  BP      6.2144e-02   3.1416e-02
   89  00:00:05   9.4241e-02     34  SN      6.2827e-02   3.1416e-02
   89  00:00:05   9.4241e-02     35  BP      6.2827e-02   3.1416e-02
   91  00:00:06   9.6078e-02     36  SN      6.4203e-02   3.1416e-02
   91  00:00:06   9.6078e-02     37  BP      6.4203e-02   3.1416e-02
   95  00:00:06   9.9960e-02     38  SN      6.7101e-02   3.1416e-02
   95  00:00:06   9.9960e-02     39  BP      6.7101e-02   3.1416e-02
   96  00:00:07   1.0014e-01     40  SN      6.7237e-02   3.1416e-02
   96  00:00:07   1.0014e-01     41  BP      6.7237e-02   3.1416e-02
   97  00:00:07   1.0185e-01     42  SN      6.8507e-02   3.1416e-02
   97  00:00:07   1.0185e-01     43  BP      6.8507e-02   3.1416e-02
  103  00:00:07   1.0731e-01     44  SN      7.2552e-02   3.1416e-02
  103  00:00:07   1.0731e-01     45  BP      7.2552e-02   3.1416e-02
  111  00:00:08   1.1535e-01     46  SN      7.8481e-02   3.1416e-02
  111  00:00:08   1.1535e-01     47  BP      7.8481e-02   3.1416e-02
  117  00:00:08   1.2091e-01     48  SN      8.2562e-02   3.1416e-02
  117  00:00:08   1.2091e-01     49  BP      8.2562e-02   3.1416e-02
  123  00:00:09   1.2648e-01     50  SN      8.6633e-02   3.1416e-02
  123  00:00:09   1.2648e-01     51  BP      8.6633e-02   3.1416e-02
  126  00:00:09   1.2950e-01     52  SN      8.8832e-02   3.1416e-02
  126  00:00:09   1.2950e-01     53  BP      8.8832e-02   3.1416e-02
  667  00:00:17   6.6717e-01     54  UZ      4.7124e-01   3.1416e-02
 1067  00:00:22   1.0668e+00     55  EP      7.5398e-01   3.1416e-02
