
 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   7.2829e-02      1  EP      4.6461e-02   3.1416e-02
    1  00:00:00   7.2829e-02      2  BP      4.6461e-02   3.1416e-02
    1  00:00:00   7.2785e-02      3  FP      4.6422e-02   3.1416e-02
   15  00:00:00   7.6525e-02      4  SN      4.8391e-02   3.1416e-02
   15  00:00:00   7.6525e-02      5  BP      4.8391e-02   3.1416e-02
   20  00:00:01   7.9307e-02      6  SN      4.9867e-02   3.1416e-02
   20  00:00:01   7.9307e-02      7  BP      4.9867e-02   3.1416e-02
   46  00:00:01   9.9716e-02      8  SN      6.0923e-02   3.1416e-02
   46  00:00:01   9.9716e-02      9  BP      6.0923e-02   3.1416e-02
   55  00:00:02   1.0786e-01     10  SN      6.5412e-02   3.1416e-02
   55  00:00:02   1.0786e-01     11  BP      6.5411e-02   3.1416e-02
   59  00:00:02   1.1158e-01     12  SN      6.7475e-02   3.1416e-02
   59  00:00:02   1.1158e-01     13  BP      6.7475e-02   3.1416e-02
   68  00:00:03   1.2007e-01     14  SN      7.2227e-02   3.1416e-02
   68  00:00:03   1.2007e-01     15  BP      7.2227e-02   3.1416e-02
   80  00:00:03   1.3125e-01     16  SN      7.8481e-02   3.1416e-02
   80  00:00:03   1.3125e-01     17  BP      7.8481e-02   3.1416e-02
   89  00:00:03   1.3981e-01     18  SN      8.3291e-02   3.1416e-02
   89  00:00:03   1.3981e-01     19  BP      8.3291e-02   3.1416e-02
   93  00:00:04   1.4301e-01     20  SN      8.5097e-02   3.1416e-02
   93  00:00:04   1.4301e-01     21  BP      8.5097e-02   3.1416e-02
   99  00:00:04   1.4934e-01     22  SN      8.8669e-02   3.1416e-02
   99  00:00:04   1.4934e-01     23  BP      8.8669e-02   3.1416e-02
  766  00:00:14   8.1271e-01     24  UZ      4.7124e-01   3.1416e-02
 1254  00:00:22   1.3010e+00     25  EP      7.5398e-01   3.1416e-02

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:22   7.2829e-02     26  EP      4.6461e-02   3.1416e-02
    1  00:00:22   7.2829e-02     27  BP      4.6461e-02   3.1416e-02
    1  00:00:22   7.2878e-02     28  FP      4.6494e-02   3.1416e-02
    2  00:00:22   7.2879e-02     29  BP      4.6490e-02   3.1416e-02
    2  00:00:23   7.2881e-02     30  FP      4.6486e-02   3.1416e-02
   14  00:00:23   7.6525e-02     31  SN      4.8391e-02   3.1416e-02
   14  00:00:23   7.6525e-02     32  BP      4.8391e-02   3.1416e-02
   19  00:00:24   7.9307e-02     33  SN      4.9867e-02   3.1416e-02
   19  00:00:25   7.9307e-02     34  BP      4.9867e-02   3.1416e-02
   46  00:00:26   9.9715e-02     35  SN      6.0922e-02   3.1416e-02
   46  00:00:26   9.9715e-02     36  BP      6.0922e-02   3.1416e-02
   55  00:00:26   1.0786e-01     37  SN      6.5411e-02   3.1416e-02
   55  00:00:26   1.0786e-01     38  BP      6.5411e-02   3.1416e-02
   59  00:00:27   1.1158e-01     39  SN      6.7475e-02   3.1416e-02
   59  00:00:27   1.1158e-01     40  BP      6.7475e-02   3.1416e-02
   68  00:00:28   1.2007e-01     41  SN      7.2227e-02   3.1416e-02
   68  00:00:28   1.2007e-01     42  BP      7.2227e-02   3.1416e-02
   80  00:00:29   1.3125e-01     43  SN      7.8481e-02   3.1416e-02
   80  00:00:29   1.3125e-01     44  BP      7.8481e-02   3.1416e-02
   89  00:00:29   1.3980e-01     45  SN      8.3291e-02   3.1416e-02
   89  00:00:30   1.3980e-01     46  BP      8.3291e-02   3.1416e-02
   92  00:00:31   1.4301e-01     47  SN      8.5097e-02   3.1416e-02
   92  00:00:31   1.4301e-01     48  BP      8.5097e-02   3.1416e-02
   99  00:00:32   1.4934e-01     49  SN      8.8669e-02   3.1416e-02
   99  00:00:32   1.4934e-01     50  BP      8.8668e-02   3.1416e-02
  765  00:00:43   8.1271e-01     51  UZ      4.7124e-01   3.1416e-02
 1254  00:00:50   1.3010e+00     52  EP      7.5398e-01   3.1416e-02
