
    STEP   DAMPING               NORMS              COMPUTATION TIMES
  IT SIT     GAMMA     ||d||     ||f||     ||U||   F(x)  DF(x)  SOLVE
   0                          0.00e+00  3.14e-02    0.0    0.0    0.0

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   3.1416e-02      1  EP      0.0000e+00   3.1416e-02
   31  00:00:00   4.3796e-02      2  SN      2.1577e-02   3.1416e-02
   31  00:00:00   4.3796e-02      3  BP      2.1577e-02   3.1416e-02
   34  00:00:00   4.5920e-02      4  HB      2.3682e-02   3.1416e-02
   34  00:00:00   4.5920e-02      5  UZ      2.3682e-02   3.1416e-02
   39  00:00:01   4.9724e-02      6  SN      2.7254e-02   3.1416e-02
   39  00:00:01   4.9724e-02      7  BP      2.7254e-02   3.1416e-02
   43  00:00:01   5.2637e-02      8  SN      2.9864e-02   3.1416e-02
   43  00:00:01   5.2637e-02      9  BP      2.9864e-02   3.1416e-02
   48  00:00:01   5.6866e-02     10  HB      3.3517e-02   3.1416e-02
   48  00:00:01   5.6866e-02     11  UZ      3.3517e-02   3.1416e-02
   52  00:00:01   6.0157e-02     12  SN      3.6276e-02   3.1416e-02
   52  00:00:01   6.0157e-02     13  BP      3.6276e-02   3.1416e-02
   58  00:00:02   6.5397e-02     14  SN      4.0558e-02   3.1416e-02
   58  00:00:02   6.5397e-02     15  BP      4.0558e-02   3.1416e-02
   61  00:00:02   6.8164e-02     16  HB      4.2775e-02   3.1416e-02
   61  00:00:02   6.8164e-02     17  UZ      4.2775e-02   3.1416e-02
   65  00:00:02   7.1372e-02     18  SN      4.5315e-02   3.1416e-02
   65  00:00:02   7.1372e-02     19  BP      4.5315e-02   3.1416e-02
   67  00:00:03   7.3496e-02     20  SN      4.6982e-02   3.1416e-02
   67  00:00:03   7.3496e-02     21  BP      4.6982e-02   3.1416e-02
   70  00:00:03   7.6408e-02     22  HB      4.9251e-02   3.1416e-02
   70  00:00:03   7.6408e-02     23  UZ      4.9251e-02   3.1416e-02
   72  00:00:03   7.8298e-02     24  SN      5.0713e-02   3.1416e-02
   72  00:00:03   7.8298e-02     25  BP      5.0713e-02   3.1416e-02
   88  00:00:04   9.2844e-02     26  SN      6.1778e-02   3.1416e-02
   88  00:00:04   9.2844e-02     27  BP      6.1778e-02   3.1416e-02
   91  00:00:04   9.5415e-02     28  HB      6.3707e-02   3.1416e-02
   91  00:00:04   9.5415e-02     29  UZ      6.3707e-02   3.1416e-02
   95  00:00:04   9.9454e-02     30  SN      6.6724e-02   3.1416e-02
   95  00:00:04   9.9454e-02     31  BP      6.6724e-02   3.1416e-02
   98  00:00:04   1.0222e-01     32  SN      6.8782e-02   3.1416e-02
   98  00:00:04   1.0222e-01     33  BP      6.8782e-02   3.1416e-02
  101  00:00:05   1.0558e-01     34  HB      7.1277e-02   3.1416e-02
  101  00:00:05   1.0558e-01     35  UZ      7.1277e-02   3.1416e-02
  103  00:00:05   1.0731e-01     36  SN      7.2552e-02   3.1416e-02
  103  00:00:05   1.0731e-01     37  BP      7.2552e-02   3.1416e-02
  667  00:00:13   6.6717e-01     38  UZ      4.7124e-01   3.1416e-02
 1067  00:00:18   1.0668e+00     39  EP      7.5398e-01   3.1416e-02
