
 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   4.5920e-02      1  EP      2.3682e-02   3.1416e-02
    1  00:00:00   4.5920e-02      2  HB      2.3682e-02   3.1416e-02
    1  00:00:00   4.5920e-02      3  BP      2.3682e-02   3.1416e-02
    1  00:00:00   4.5890e-02      4  FP      2.3651e-02   3.1416e-02
   10  00:00:01   4.8105e-02      5  SN      2.5117e-02   3.1416e-02
   10  00:00:01   4.8105e-02      6  BP      2.5117e-02   3.1416e-02
   11  00:00:01   4.8204e-02      7  HB      2.5182e-02   3.1416e-02
   78  00:00:02   1.0310e-01      8  HB      5.6488e-02   3.1416e-02
  198  00:00:04   2.2009e-01      9  HB      1.1994e-01   3.1416e-02
  847  00:00:11   8.6726e-01     10  UZ      4.7124e-01   3.1416e-02
 1368  00:00:18   1.3878e+00     11  EP      7.5398e-01   3.1416e-02

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:18   4.5920e-02     12  EP      2.3682e-02   3.1416e-02
    1  00:00:18   4.5920e-02     13  BP      2.3682e-02   3.1416e-02
    1  00:00:19   4.5982e-02     14  SN      2.3734e-02   3.1416e-02
    2  00:00:19   4.5996e-02     15  SN      2.3739e-02   3.1416e-02
    2  00:00:19   4.5997e-02     16  BP      2.3740e-02   3.1416e-02
   11  00:00:20   4.8119e-02     17  SN      2.5128e-02   3.1416e-02
   11  00:00:20   4.8119e-02     18  BP      2.5128e-02   3.1416e-02
   78  00:00:21   1.0310e-01     19  HB      5.6488e-02   3.1416e-02
  198  00:00:24   2.2009e-01     20  HB      1.1994e-01   3.1416e-02
  847  00:00:33   8.6726e-01     21  UZ      4.7124e-01   3.1416e-02
 1368  00:00:40   1.3878e+00     22  EP      7.5398e-01   3.1416e-02
