
 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   4.5114e-02      1  EP      2.2894e-02   3.1416e-02
    1  00:00:00   4.5114e-02      2  HB      2.2894e-02   3.1416e-02
    1  00:00:00   4.5114e-02      3  BP      2.2894e-02   3.1416e-02
    1  00:00:00   4.5081e-02      4  FP      2.2854e-02   3.1416e-02
   11  00:00:00   4.6647e-02      5  SN      2.3627e-02   3.1416e-02
   11  00:00:00   4.6647e-02      6  BP      2.3627e-02   3.1416e-02
  954  00:00:08   9.7037e-01      7  UZ      4.7124e-01   3.1416e-02
 1536  00:00:12   1.5527e+00      8  EP      7.5398e-01   3.1416e-02

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:13   4.5114e-02      9  EP      2.2894e-02   3.1416e-02
    1  00:00:13   4.5114e-02     10  BP      2.2894e-02   3.1416e-02
    1  00:00:13   4.5160e-02     11  FP      2.2929e-02   3.1416e-02
    2  00:00:13   4.5160e-02     12  SN      2.2929e-02   3.1416e-02
    2  00:00:13   4.5170e-02     13  FP      2.2928e-02   3.1416e-02
   14  00:00:14   4.7333e-02     14  SN      2.4035e-02   3.1416e-02
   14  00:00:14   4.7333e-02     15  BP      2.4035e-02   3.1416e-02
   27  00:00:14   5.4921e-02     16  SN      2.7854e-02   3.1416e-02
   27  00:00:14   5.4921e-02     17  BP      2.7854e-02   3.1416e-02
   47  00:00:15   6.9983e-02     18  HB      3.5125e-02   3.1416e-02
  168  00:00:16   1.8502e-01     19  HB      8.9838e-02   3.1416e-02
  182  00:00:17   1.9884e-01     20  SN      9.6457e-02   3.1416e-02
  182  00:00:17   1.9884e-01     21  BP      9.6457e-02   3.1416e-02
  963  00:00:24   9.7714e-01     22  UZ      4.7124e-01   3.1416e-02
 1545  00:00:30   1.5592e+00     23  EP      7.5398e-01   3.1416e-02
