
 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   4.7371e-02      1  EP      2.5071e-02   3.1416e-02
    1  00:00:00   4.7371e-02      2  HB      2.5071e-02   3.1416e-02
    1  00:00:00   4.7371e-02      3  BP      2.5071e-02   3.1416e-02
    1  00:00:00   4.7335e-02      4  FP      2.5029e-02   3.1416e-02
    2  00:00:00   4.7395e-02      5  SN      2.5071e-02   3.1416e-02
    2  00:00:00   4.7395e-02      6  BP      2.5071e-02   3.1416e-02
   13  00:00:00   5.0386e-02      7  SN      2.6599e-02   3.1416e-02
   13  00:00:00   5.0386e-02      8  BP      2.6599e-02   3.1416e-02
   24  00:00:01   5.7189e-02      9  SN      3.0173e-02   3.1416e-02
   24  00:00:01   5.7189e-02     10  BP      3.0173e-02   3.1416e-02
   26  00:00:01   5.8717e-02     11  SN      3.0991e-02   3.1416e-02
   26  00:00:01   5.8717e-02     12  BP      3.0991e-02   3.1416e-02
   38  00:00:01   6.8480e-02     13  SN      3.6307e-02   3.1416e-02
   38  00:00:01   6.8480e-02     14  BP      3.6307e-02   3.1416e-02
   66  00:00:01   9.3433e-02     15  SN      5.0284e-02   3.1416e-02
   66  00:00:01   9.3433e-02     16  BP      5.0284e-02   3.1416e-02
   70  00:00:02   9.7007e-02     17  SN      5.2307e-02   3.1416e-02
   70  00:00:02   9.7007e-02     18  BP      5.2307e-02   3.1416e-02
  819  00:00:08   8.4182e-01     19  UZ      4.7124e-01   3.1416e-02
 1324  00:00:13   1.3463e+00     20  EP      7.5398e-01   3.1416e-02

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:13   4.7371e-02     21  EP      2.5071e-02   3.1416e-02
    1  00:00:13   4.7371e-02     22  BP      2.5071e-02   3.1416e-02
    1  00:00:13   4.7419e-02     23  FP      2.5106e-02   3.1416e-02
    2  00:00:14   4.7419e-02     24  SN      2.5106e-02   3.1416e-02
    2  00:00:14   4.7430e-02     25  FP      2.5098e-02   3.1416e-02
   12  00:00:14   5.0386e-02     26  SN      2.6599e-02   3.1416e-02
   12  00:00:14   5.0386e-02     27  BP      2.6599e-02   3.1416e-02
   24  00:00:15   5.7188e-02     28  SN      3.0173e-02   3.1416e-02
   24  00:00:15   5.7188e-02     29  BP      3.0173e-02   3.1416e-02
   26  00:00:15   5.8716e-02     30  SN      3.0991e-02   3.1416e-02
   26  00:00:15   5.8716e-02     31  BP      3.0991e-02   3.1416e-02
   38  00:00:16   6.8479e-02     32  SN      3.6306e-02   3.1416e-02
   38  00:00:16   6.8479e-02     33  BP      3.6306e-02   3.1416e-02
   57  00:00:17   8.5973e-02     34  SN      4.6073e-02   3.1416e-02
   57  00:00:17   8.5973e-02     35  BP      4.6073e-02   3.1416e-02
   58  00:00:17   8.6273e-02     36  SN      4.6242e-02   3.1416e-02
   58  00:00:17   8.6273e-02     37  BP      4.6242e-02   3.1416e-02
   65  00:00:18   9.2874e-02     38  BP      4.9968e-02   3.1416e-02
   65  00:00:18   9.3433e-02     39  SN      5.0284e-02   3.1416e-02
   69  00:00:18   9.7007e-02     40  SN      5.2307e-02   3.1416e-02
   69  00:00:18   9.7007e-02     41  BP      5.2307e-02   3.1416e-02
  819  00:00:25   8.4182e-01     42  UZ      4.7124e-01   3.1416e-02
 1323  00:00:30   1.3463e+00     43  EP      7.5398e-01   3.1416e-02
