
 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   4.9405e-02      1  EP      2.6962e-02   3.1416e-02
    1  00:00:00   4.9405e-02      2  SN      2.6962e-02   3.1416e-02
    1  00:00:00   4.9386e-02      3  FP      2.6939e-02   3.1416e-02
   43  00:00:00   6.5784e-02      4  SN      3.5646e-02   3.1416e-02
   43  00:00:00   6.5929e-02      5  FP      3.5741e-02   3.1416e-02
   50  00:00:01   6.4381e-02      6  SN      3.5334e-02   3.1416e-02
   50  00:00:01   6.4431e-02      7  FP      3.5376e-02   3.1416e-02
 1039  00:00:12   1.0126e+00      8  UZ      4.7124e-01   3.1416e-02
 1648  00:00:18   1.6217e+00      9  EP      7.5398e-01   3.1416e-02

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:18   4.9405e-02     10  EP      2.6962e-02   3.1416e-02
    1  00:00:18   4.9405e-02     11  BP      2.6962e-02   3.1416e-02
    1  00:00:18   4.9437e-02     12  FP      2.6982e-02   3.1416e-02
    2  00:00:19   4.9437e-02     13  SN      2.6982e-02   3.1416e-02
    2  00:00:19   4.9450e-02     14  FP      2.6978e-02   3.1416e-02
   43  00:00:21   6.5938e-02     15  SN      3.5726e-02   3.1416e-02
   43  00:00:21   6.5928e-02     16  FP      3.5741e-02   3.1416e-02
   50  00:00:21   6.4278e-02     17  SN      3.5276e-02   3.1416e-02
   50  00:00:21   6.4428e-02     18  FP      3.5376e-02   3.1416e-02
 1039  00:00:31   1.0126e+00     19  UZ      4.7124e-01   3.1416e-02
 1648  00:00:36   1.6217e+00     20  EP      7.5398e-01   3.1416e-02
