
 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   4.3503e-02      1  EP      2.1278e-02   3.1416e-02
    1  00:00:00   4.3503e-02      2  SN      2.1278e-02   3.1416e-02
    1  00:00:00   4.3479e-02      3  FP      2.1246e-02   3.1416e-02
  963  00:00:06   9.7926e-01      4  UZ      4.7124e-01   3.1416e-02
 1551  00:00:11   1.5666e+00      5  EP      7.5398e-01   3.1416e-02

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:11   4.3503e-02      6  EP      2.1278e-02   3.1416e-02
    1  00:00:12   4.3503e-02      7  BP      2.1278e-02   3.1416e-02
    1  00:00:12   4.3541e-02      8  FP      2.1305e-02   3.1416e-02
    2  00:00:12   4.3541e-02      9  SN      2.1305e-02   3.1416e-02
    2  00:00:12   4.3555e-02     10  FP      2.1299e-02   3.1416e-02
  963  00:00:19   9.7926e-01     11  UZ      4.7124e-01   3.1416e-02
 1550  00:00:24   1.5666e+00     12  EP      7.5398e-01   3.1416e-02
