
 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   4.4965e-02      1  EP      2.2747e-02   3.1416e-02
    1  00:00:00   4.4965e-02      2  SN      2.2747e-02   3.1416e-02
    1  00:00:00   4.4965e-02      3  BP      2.2747e-02   3.1416e-02
   34  00:00:00   3.1416e-02      4  EP     -7.7213e-16   3.1416e-02

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   4.4965e-02      5  EP      2.2747e-02   3.1416e-02
    1  00:00:00   4.5634e-02      6  SN      2.3404e-02   3.1416e-02
    1  00:00:00   4.5634e-02      7  BP      2.3404e-02   3.1416e-02
   20  00:00:00   6.0091e-02      8  SN      3.6222e-02   3.1416e-02
   20  00:00:00   6.0091e-02      9  BP      3.6222e-02   3.1416e-02
   26  00:00:00   6.5317e-02     10  SN      4.0493e-02   3.1416e-02
   26  00:00:00   6.5317e-02     11  BP      4.0493e-02   3.1416e-02
   39  00:00:00   7.6563e-02     12  SN      4.9371e-02   3.1416e-02
   39  00:00:00   7.6563e-02     13  BP      4.9371e-02   3.1416e-02
   40  00:00:00   7.7259e-02     14  BP      4.9910e-02   3.1416e-02
   40  00:00:00   7.7259e-02     15  SN      4.9910e-02   3.1416e-02
   58  00:00:01   9.4024e-02     16  SN      6.2664e-02   3.1416e-02
   58  00:00:01   9.4024e-02     17  BP      6.2664e-02   3.1416e-02
   59  00:00:01   9.5266e-02     18  SN      6.3595e-02   3.1416e-02
   59  00:00:01   9.5266e-02     19  BP      6.3595e-02   3.1416e-02
   72  00:00:01   1.0768e-01     20  SN      7.2826e-02   3.1416e-02
   72  00:00:01   1.0768e-01     21  BP      7.2826e-02   3.1416e-02
  636  00:00:03   6.6717e-01     22  UZ      4.7124e-01   3.1416e-02
 1036  00:00:05   1.0668e+00     23  EP      7.5398e-01   3.1416e-02
