
 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   4.9434e-02      1  EP      2.6989e-02   3.1416e-02
    1  00:00:00   4.9434e-02      2  HB      2.6989e-02   3.1416e-02
    1  00:00:00   4.9434e-02      3  BP      2.6989e-02   3.1416e-02
    1  00:00:00   4.9376e-02      4  FP      2.6929e-02   3.1416e-02
   15  00:00:01   5.4076e-02      5  SN      2.9719e-02   3.1416e-02
   15  00:00:01   5.4076e-02      6  BP      2.9719e-02   3.1416e-02
   31  00:00:02   6.5941e-02      7  SN      3.6697e-02   3.1416e-02
   31  00:00:02   6.5941e-02      8  BP      3.6697e-02   3.1416e-02
   36  00:00:02   6.9795e-02      9  SN      3.8950e-02   3.1416e-02
   36  00:00:02   6.9795e-02     10  BP      3.8950e-02   3.1416e-02
   47  00:00:03   7.9934e-02     11  SN      4.4854e-02   3.1416e-02
   47  00:00:03   7.9934e-02     12  BP      4.4853e-02   3.1416e-02
   51  00:00:03   8.3427e-02     13  SN      4.6881e-02   3.1416e-02
   51  00:00:03   8.3427e-02     14  BP      4.6881e-02   3.1416e-02
   59  00:00:04   9.0564e-02     15  SN      5.1016e-02   3.1416e-02
   59  00:00:04   9.0564e-02     16  BP      5.1016e-02   3.1416e-02
   78  00:00:05   1.0909e-01     17  SN      6.1713e-02   3.1416e-02
   78  00:00:05   1.0909e-01     18  BP      6.1713e-02   3.1416e-02
   87  00:00:05   1.1690e-01     19  BP      6.6210e-02   3.1416e-02
   87  00:00:05   1.1690e-01     20  SN      6.6210e-02   3.1416e-02
   90  00:00:05   1.2009e-01     21  SN      6.8043e-02   3.1416e-02
   90  00:00:05   1.2009e-01     22  BP      6.8043e-02   3.1416e-02
   99  00:00:06   1.2903e-01     23  SN      7.3187e-02   3.1416e-02
   99  00:00:06   1.2903e-01     24  BP      7.3187e-02   3.1416e-02
  109  00:00:06   1.3825e-01     25  SN      7.8481e-02   3.1416e-02
  109  00:00:06   1.3825e-01     26  BP      7.8481e-02   3.1416e-02
  118  00:00:07   1.4718e-01     27  SN      8.3607e-02   3.1416e-02
  118  00:00:07   1.4718e-01     28  BP      8.3607e-02   3.1416e-02
  122  00:00:08   1.5079e-01     29  SN      8.5681e-02   3.1416e-02
  122  00:00:08   1.5079e-01     30  BP      8.5681e-02   3.1416e-02
  128  00:00:08   1.5723e-01     31  BP      8.9371e-02   3.1416e-02
  128  00:00:08   1.5723e-01     32  SN      8.9371e-02   3.1416e-02
  799  00:00:19   8.2552e-01     33  UZ      4.7124e-01   3.1416e-02
 1295  00:00:27   1.3207e+00     34  EP      7.5398e-01   3.1416e-02

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:28   4.9434e-02     35  EP      2.6989e-02   3.1416e-02
    1  00:00:28   4.9434e-02     36  BP      2.6989e-02   3.1416e-02
    1  00:00:28   4.9501e-02     37  FP      2.7041e-02   3.1416e-02
    2  00:00:28   4.9503e-02     38  BP      2.7035e-02   3.1416e-02
    2  00:00:28   4.9507e-02     39  FP      2.7029e-02   3.1416e-02
   15  00:00:29   5.4075e-02     40  SN      2.9718e-02   3.1416e-02
   15  00:00:29   5.4075e-02     41  BP      2.9718e-02   3.1416e-02
   31  00:00:30   6.5940e-02     42  SN      3.6696e-02   3.1416e-02
   31  00:00:30   6.5940e-02     43  BP      3.6696e-02   3.1416e-02
   35  00:00:31   6.9795e-02     44  SN      3.8950e-02   3.1416e-02
   35  00:00:31   6.9795e-02     45  BP      3.8950e-02   3.1416e-02
   47  00:00:31   7.9934e-02     46  SN      4.4853e-02   3.1416e-02
   47  00:00:32   7.9934e-02     47  BP      4.4853e-02   3.1416e-02
   51  00:00:32   8.3426e-02     48  SN      4.6881e-02   3.1416e-02
   51  00:00:33   8.3426e-02     49  BP      4.6881e-02   3.1416e-02
   58  00:00:33   9.0564e-02     50  SN      5.1016e-02   3.1416e-02
   58  00:00:33   9.0564e-02     51  BP      5.1016e-02   3.1416e-02
   78  00:00:34   1.0909e-01     52  SN      6.1713e-02   3.1416e-02
   78  00:00:34   1.0909e-01     53  BP      6.1713e-02   3.1416e-02
   86  00:00:35   1.1690e-01     54  SN      6.6210e-02   3.1416e-02
   86  00:00:35   1.1690e-01     55  BP      6.6210e-02   3.1416e-02
   90  00:00:35   1.2009e-01     56  SN      6.8043e-02   3.1416e-02
   90  00:00:37   1.2009e-01     57  BP      6.8043e-02   3.1416e-02
   99  00:00:38   1.2903e-01     58  SN      7.3187e-02   3.1416e-02
   99  00:00:38   1.2903e-01     59  BP      7.3187e-02   3.1416e-02
  108  00:00:38   1.3825e-01     60  SN      7.8481e-02   3.1416e-02
  108  00:00:39   1.3825e-01     61  BP      7.8481e-02   3.1416e-02
  118  00:00:39   1.4718e-01     62  SN      8.3607e-02   3.1416e-02
  118  00:00:40   1.4718e-01     63  BP      8.3607e-02   3.1416e-02
  121  00:00:40   1.5079e-01     64  SN      8.5681e-02   3.1416e-02
  121  00:00:41   1.5079e-01     65  BP      8.5681e-02   3.1416e-02
  128  00:00:42   1.5723e-01     66  SN      8.9371e-02   3.1416e-02
  128  00:00:42   1.5723e-01     67  BP      8.9371e-02   3.1416e-02
  799  00:00:54   8.2552e-01     68  UZ      4.7124e-01   3.1416e-02
 1294  00:01:03   1.3207e+00     69  EP      7.5398e-01   3.1416e-02
