
 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   4.9724e-02      1  EP      2.7254e-02   3.1416e-02
    1  00:00:00   4.9724e-02      2  SN      2.7254e-02   3.1416e-02
    1  00:00:00   4.9687e-02      3  FP      2.7214e-02   3.1416e-02
   18  00:00:00   5.5565e-02      4  HB      3.0195e-02   3.1416e-02
   25  00:00:01   6.0323e-02      5  SN      3.2628e-02   3.1416e-02
   25  00:00:01   6.0323e-02      6  BP      3.2628e-02   3.1416e-02
   38  00:00:01   7.0223e-02      7  SN      3.7728e-02   3.1416e-02
   38  00:00:01   7.0223e-02      8  BP      3.7728e-02   3.1416e-02
   40  00:00:01   7.1750e-02      9  HB      3.8518e-02   3.1416e-02
   41  00:00:02   7.2765e-02     10  SN      3.9043e-02   3.1416e-02
   41  00:00:02   7.2765e-02     11  BP      3.9043e-02   3.1416e-02
  870  00:00:11   8.9370e-01     12  UZ      4.7124e-01   3.1416e-02
 1406  00:00:17   1.4300e+00     13  EP      7.5398e-01   3.1416e-02

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:17   4.9724e-02     14  EP      2.7254e-02   3.1416e-02
    1  00:00:18   4.9724e-02     15  BP      2.7254e-02   3.1416e-02
    1  00:00:18   4.9772e-02     16  FP      2.7288e-02   3.1416e-02
    2  00:00:18   4.9772e-02     17  SN      2.7288e-02   3.1416e-02
    2  00:00:19   4.9782e-02     18  FP      2.7281e-02   3.1416e-02
   18  00:00:19   5.5572e-02     19  HB      3.0199e-02   3.1416e-02
   25  00:00:20   6.0330e-02     20  BP      3.2631e-02   3.1416e-02
   25  00:00:20   6.0330e-02     21  SN      3.2631e-02   3.1416e-02
   37  00:00:20   7.0223e-02     22  SN      3.7728e-02   3.1416e-02
   37  00:00:20   7.0223e-02     23  BP      3.7728e-02   3.1416e-02
   39  00:00:21   7.1752e-02     24  HB      3.8519e-02   3.1416e-02
   40  00:00:21   7.2765e-02     25  SN      3.9043e-02   3.1416e-02
   40  00:00:21   7.2765e-02     26  BP      3.9043e-02   3.1416e-02
  869  00:00:32   8.9370e-01     27  UZ      4.7124e-01   3.1416e-02
 1406  00:00:39   1.4300e+00     28  EP      7.5398e-01   3.1416e-02
