
 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   4.4232e-02      1  EP      2.2017e-02   3.1416e-02
    1  00:00:00   4.4232e-02      2  SN      2.2017e-02   3.1416e-02
    1  00:00:00   4.4207e-02      3  FP      2.1984e-02   3.1416e-02
  983  00:00:07   9.9949e-01      4  UZ      4.7124e-01   3.1416e-02
 1583  00:00:13   1.5993e+00      5  EP      7.5398e-01   3.1416e-02

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:13   4.4232e-02      6  EP      2.2017e-02   3.1416e-02
    1  00:00:13   4.4232e-02      7  BP      2.2017e-02   3.1416e-02
    1  00:00:14   4.4272e-02      8  FP      2.2046e-02   3.1416e-02
    2  00:00:14   4.4272e-02      9  SN      2.2046e-02   3.1416e-02
    2  00:00:14   4.4286e-02     10  FP      2.2039e-02   3.1416e-02
  983  00:00:23   9.9949e-01     11  UZ      4.7124e-01   3.1416e-02
 1583  00:00:28   1.5993e+00     12  EP      7.5398e-01   3.1416e-02
