
    STEP   DAMPING               NORMS              COMPUTATION TIMES
  IT SIT     GAMMA     ||d||     ||f||     ||U||   F(x)  DF(x)  SOLVE
   0                          0.00e+00  3.14e-02    0.0    0.0    0.0

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   3.1416e-02      1  EP      0.0000e+00   3.1416e-02
   32  00:00:00   4.4638e-02      2  SN      2.2423e-02   3.1416e-02
   32  00:00:00   4.4638e-02      3  BP      2.2423e-02   3.1416e-02
   34  00:00:00   4.6162e-02      4  SN      2.3916e-02   3.1416e-02
   34  00:00:00   4.6162e-02      5  BP      2.3916e-02   3.1416e-02
   36  00:00:00   4.7371e-02      6  HB      2.5071e-02   3.1416e-02
   36  00:00:00   4.7371e-02      7  UZ      2.5071e-02   3.1416e-02
   37  00:00:00   4.8535e-02      8  SN      2.6160e-02   3.1416e-02
   37  00:00:00   4.8535e-02      9  BP      2.6160e-02   3.1416e-02
   40  00:00:01   5.0222e-02     10  SN      2.7706e-02   3.1416e-02
   40  00:00:01   5.0222e-02     11  BP      2.7706e-02   3.1416e-02
   42  00:00:01   5.1877e-02     12  SN      2.9191e-02   3.1416e-02
   42  00:00:01   5.1877e-02     13  BP      2.9191e-02   3.1416e-02
   43  00:00:01   5.2986e-02     14  SN      3.0171e-02   3.1416e-02
   43  00:00:01   5.2986e-02     15  BP      3.0171e-02   3.1416e-02
   44  00:00:01   5.3772e-02     16  SN      3.0858e-02   3.1416e-02
   44  00:00:01   5.3772e-02     17  BP      3.0858e-02   3.1416e-02
   52  00:00:01   6.0157e-02     18  SN      3.6276e-02   3.1416e-02
   52  00:00:01   6.0157e-02     19  BP      3.6276e-02   3.1416e-02
   58  00:00:02   6.5397e-02     20  SN      4.0558e-02   3.1416e-02
   58  00:00:02   6.5397e-02     21  BP      4.0558e-02   3.1416e-02
   65  00:00:02   7.1516e-02     22  SN      4.5429e-02   3.1416e-02
   65  00:00:02   7.1516e-02     23  BP      4.5429e-02   3.1416e-02
   66  00:00:02   7.2248e-02     24  SN      4.6004e-02   3.1416e-02
   66  00:00:02   7.2248e-02     25  BP      4.6004e-02   3.1416e-02
   67  00:00:02   7.3273e-02     26  SN      4.6808e-02   3.1416e-02
   67  00:00:02   7.3273e-02     27  BP      4.6808e-02   3.1416e-02
   68  00:00:02   7.4785e-02     28  SN      4.7989e-02   3.1416e-02
   68  00:00:02   7.4785e-02     29  BP      4.7989e-02   3.1416e-02
   70  00:00:03   7.6302e-02     30  SN      4.9168e-02   3.1416e-02
   70  00:00:03   7.6302e-02     31  BP      4.9168e-02   3.1416e-02
   71  00:00:03   7.7334e-02     32  HB      4.9968e-02   3.1416e-02
   71  00:00:03   7.7334e-02     33  UZ      4.9968e-02   3.1416e-02
   72  00:00:03   7.8394e-02     34  BP      5.0787e-02   3.1416e-02
   72  00:00:03   7.8394e-02     35  SN      5.0787e-02   3.1416e-02
   74  00:00:03   7.9711e-02     36  SN      5.1802e-02   3.1416e-02
   74  00:00:03   7.9711e-02     37  BP      5.1802e-02   3.1416e-02
  667  00:00:08   6.6717e-01     38  UZ      4.7124e-01   3.1416e-02
 1067  00:00:12   1.0668e+00     39  EP      7.5398e-01   3.1416e-02
