
 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   6.4431e-02      1  EP      3.5376e-02   3.1416e-02
    1  00:00:00   6.4433e-02      2  SN      3.5368e-02   3.1416e-02
    1  00:00:00   6.4448e-02      3  FP      3.5342e-02   3.1416e-02
   12  00:00:00   6.7875e-02      4  FP      3.6406e-02   3.1416e-02
   43  00:00:00   5.4638e-02      5  FP      2.8740e-02   3.1416e-02
   73  00:00:01   6.5934e-02      6  SN      3.4272e-02   3.1416e-02
   73  00:00:01   6.5923e-02      7  FP      3.4282e-02   3.1416e-02
   89  00:00:01   5.9435e-02      8  FP      3.1175e-02   3.1416e-02
  194  00:00:02   1.3669e-01      9  FP      6.7777e-02   3.1416e-02
  243  00:00:03   1.1393e-01     10  SN      5.7027e-02   3.1416e-02
  243  00:00:03   1.1267e-01     11  FP      5.6367e-02   3.1416e-02
 1106  00:00:10   9.5678e-01     12  UZ      4.7124e-01   3.1416e-02
 1681  00:00:15   1.5313e+00     13  EP      7.5398e-01   3.1416e-02

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:15   6.4431e-02     14  EP      3.5376e-02   3.1416e-02
  988  00:00:25   1.0126e+00     15  UZ      4.7124e-01   3.1416e-02
 1597  00:00:31   1.6217e+00     16  EP      7.5398e-01   3.1416e-02
