
    STEP   DAMPING               NORMS              COMPUTATION TIMES
  IT SIT     GAMMA     ||d||     ||f||     ||U||   F(x)  DF(x)  SOLVE
   0                          0.00e+00  3.14e-02    0.0    0.0    0.0

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   3.1416e-02      1  EP      0.0000e+00   3.1416e-02
   32  00:00:00   4.4232e-02      2  SN      2.2017e-02   3.1416e-02
   32  00:00:00   4.4232e-02      3  BP      2.2017e-02   3.1416e-02
   36  00:00:00   4.7371e-02      4  SN      2.5071e-02   3.1416e-02
   36  00:00:00   4.7371e-02      5  BP      2.5071e-02   3.1416e-02
   43  00:00:00   5.2986e-02      6  HB      3.0171e-02   3.1416e-02
   43  00:00:00   5.2986e-02      7  UZ      3.0171e-02   3.1416e-02
   52  00:00:00   6.0157e-02      8  SN      3.6276e-02   3.1416e-02
   52  00:00:00   6.0157e-02      9  BP      3.6276e-02   3.1416e-02
   66  00:00:00   7.2248e-02     10  HB      4.6004e-02   3.1416e-02
   66  00:00:00   7.2248e-02     11  UZ      4.6004e-02   3.1416e-02
   71  00:00:01   7.7334e-02     12  SN      4.9968e-02   3.1416e-02
   71  00:00:01   7.7334e-02     13  BP      4.9968e-02   3.1416e-02
   74  00:00:01   8.0057e-02     14  SN      5.2068e-02   3.1416e-02
   74  00:00:01   8.0057e-02     15  BP      5.2068e-02   3.1416e-02
  667  00:00:05   6.6717e-01     16  UZ      4.7124e-01   3.1416e-02
 1067  00:00:07   1.0668e+00     17  EP      7.5398e-01   3.1416e-02
