
 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   5.2986e-02      1  EP      3.0171e-02   3.1416e-02
    1  00:00:00   5.2986e-02      2  BP      3.0171e-02   3.1416e-02
    1  00:00:00   5.2924e-02      3  FP      3.0111e-02   3.1416e-02
   18  00:00:00   5.9644e-02      4  SN      3.4112e-02   3.1416e-02
   18  00:00:00   5.9644e-02      5  BP      3.4112e-02   3.1416e-02
   45  00:00:00   8.1791e-02      6  SN      4.7358e-02   3.1416e-02
   45  00:00:00   8.1791e-02      7  BP      4.7358e-02   3.1416e-02
   57  00:00:00   9.2566e-02      8  SN      5.3817e-02   3.1416e-02
   57  00:00:00   9.2566e-02      9  BP      5.3817e-02   3.1416e-02
  763  00:00:05   7.9374e-01     10  UZ      4.7124e-01   3.1416e-02
 1239  00:00:08   1.2697e+00     11  EP      7.5398e-01   3.1416e-02

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:08   5.2986e-02     12  EP      3.0171e-02   3.1416e-02
    1  00:00:08   5.2986e-02     13  BP      3.0171e-02   3.1416e-02
    1  00:00:09   5.3055e-02     14  FP      3.0224e-02   3.1416e-02
    2  00:00:09   5.3057e-02     15  BP      3.0213e-02   3.1416e-02
    2  00:00:09   5.3060e-02     16  FP      3.0212e-02   3.1416e-02
   18  00:00:09   5.9648e-02     17  SN      3.4115e-02   3.1416e-02
   18  00:00:09   5.9648e-02     18  BP      3.4115e-02   3.1416e-02
   45  00:00:09   8.1790e-02     19  SN      4.7357e-02   3.1416e-02
   45  00:00:10   8.1790e-02     20  BP      4.7357e-02   3.1416e-02
   56  00:00:10   9.2566e-02     21  SN      5.3817e-02   3.1416e-02
   56  00:00:10   9.2566e-02     22  BP      5.3817e-02   3.1416e-02
  763  00:00:14   7.9374e-01     23  UZ      4.7124e-01   3.1416e-02
 1239  00:00:17   1.2697e+00     24  EP      7.5398e-01   3.1416e-02
