
    STEP   DAMPING               NORMS              COMPUTATION TIMES
  IT SIT     GAMMA     ||d||     ||f||     ||U||   F(x)  DF(x)  SOLVE
   0                          0.00e+00  3.14e-02    0.0    0.0    0.0

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   3.1416e-02      1  EP      0.0000e+00   3.1416e-02
  133  00:00:00   4.5624e-02      2  SN      2.3394e-02   3.1416e-02
  133  00:00:00   4.5624e-02      3  BP      2.3394e-02   3.1416e-02
  135  00:00:00   4.6041e-02      4  SN      2.3800e-02   3.1416e-02
  135  00:00:00   4.6041e-02      5  BP      2.3800e-02   3.1416e-02
  206  00:00:01   6.0133e-02      6  SN      3.6256e-02   3.1416e-02
  206  00:00:01   6.0133e-02      7  BP      3.6256e-02   3.1416e-02
  230  00:00:01   6.5353e-02      8  SN      4.0522e-02   3.1416e-02
  230  00:00:01   6.5353e-02      9  BP      4.0522e-02   3.1416e-02
  286  00:00:02   7.8048e-02     10  SN      5.0520e-02   3.1416e-02
  286  00:00:02   7.8048e-02     11  BP      5.0520e-02   3.1416e-02
  292  00:00:02   7.9330e-02     12  SN      5.1509e-02   3.1416e-02
  292  00:00:02   7.9330e-02     13  BP      5.1509e-02   3.1416e-02
 2666  00:00:11   6.6717e-01     14  UZ      4.7124e-01   3.1416e-02
 4266  00:00:19   1.0668e+00     15  EP      7.5398e-01   3.1416e-02
