
 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   6.5353e-02      1  EP      4.0522e-02   3.1416e-02
    1  00:00:00   6.5353e-02      2  SN      4.0522e-02   3.1416e-02
    1  00:00:00   6.5351e-02      3  FP      4.0520e-02   3.1416e-02
 1036  00:00:04   3.0568e-01      4  SN      1.7118e-01   3.1416e-02
 1036  00:00:04   2.9755e-01      5  FP      1.6662e-01   3.1416e-02
 1614  00:00:07   1.7224e-01      6  SN      9.6454e-02   3.1416e-02
 1614  00:00:07   1.7224e-01      7  FP      9.6453e-02   3.1416e-02
 4263  00:00:20   8.1202e-01      8  UZ      4.7124e-01   3.1416e-02
 5000  00:00:24   9.9629e-01      9  EP      5.7868e-01   3.1416e-02

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:24   6.5353e-02     10  EP      4.0522e-02   3.1416e-02
    1  00:00:25   6.5353e-02     11  BP      4.0522e-02   3.1416e-02
    1  00:00:25   6.5356e-02     12  FP      4.0524e-02   3.1416e-02
    2  00:00:25   6.5356e-02     13  SN      4.0524e-02   3.1416e-02
    2  00:00:25   6.5357e-02     14  FP      4.0524e-02   3.1416e-02
 1036  00:00:31   3.0568e-01     15  SN      1.7118e-01   3.1416e-02
 1036  00:00:31   2.9755e-01     16  FP      1.6662e-01   3.1416e-02
 1614  00:00:35   1.7224e-01     17  SN      9.6454e-02   3.1416e-02
 1614  00:00:35   1.7224e-01     18  FP      9.6453e-02   3.1416e-02
 4263  00:00:54   8.1202e-01     19  UZ      4.7124e-01   3.1416e-02
 5000  00:01:00   9.9629e-01     20  EP      5.7868e-01   3.1416e-02
