
 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   4.0781e-02      1  EP      1.8387e-02   3.1416e-02
    1  00:00:00   4.0781e-02      2  SN      1.8387e-02   3.1416e-02
    1  00:00:00   4.0776e-02      3  FP      1.8379e-02   3.1416e-02
  310  00:00:01   1.7066e-01      4  UZ      7.8540e-02   3.1416e-02
  648  00:00:02   3.3826e-01      5  UZ      1.5708e-01   3.1416e-02
  986  00:00:04   5.0637e-01      6  UZ      2.3562e-01   3.1416e-02
 1323  00:00:06   6.7468e-01      7  UZ      3.1416e-01   3.1416e-02
 1660  00:00:07   8.4306e-01      8  EP      3.9270e-01   3.1416e-02

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:07   4.0781e-02      9  EP      1.8387e-02   3.1416e-02
    1  00:00:08   4.0781e-02     10  BP      1.8387e-02   3.1416e-02
    1  00:00:08   4.0790e-02     11  FP      1.8393e-02   3.1416e-02
    2  00:00:08   4.0790e-02     12  SN      1.8393e-02   3.1416e-02
    2  00:00:08   4.0794e-02     13  FP      1.8392e-02   3.1416e-02
  310  00:00:09   1.7066e-01     14  UZ      7.8540e-02   3.1416e-02
  648  00:00:12   3.3826e-01     15  UZ      1.5708e-01   3.1416e-02
  986  00:00:13   5.0637e-01     16  UZ      2.3562e-01   3.1416e-02
 1323  00:00:15   6.7468e-01     17  UZ      3.1416e-01   3.1416e-02
 1660  00:00:17   8.4306e-01     18  EP      3.9270e-01   3.1416e-02
