
 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   4.3462e-02      1  EP      2.1237e-02   3.1416e-02
    1  00:00:00   4.3462e-02      2  SN      2.1237e-02   3.1416e-02
    1  00:00:00   4.3452e-02      3  FP      2.1224e-02   3.1416e-02
 1969  00:00:08   1.0029e+00      4  UZ      5.4271e-01   3.1416e-02
 2285  00:00:09   1.1609e+00      5  EP      6.2832e-01   3.1416e-02

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:09   4.3462e-02      6  EP      2.1237e-02   3.1416e-02
    1  00:00:09   4.3462e-02      7  BP      2.1237e-02   3.1416e-02
    1  00:00:09   4.3476e-02      8  FP      2.1248e-02   3.1416e-02
    2  00:00:10   4.3476e-02      9  SN      2.1248e-02   3.1416e-02
    2  00:00:10   4.3479e-02     10  FP      2.1245e-02   3.1416e-02
 1969  00:00:19   1.0029e+00     11  UZ      5.4271e-01   3.1416e-02
 2285  00:00:21   1.1609e+00     12  EP      6.2832e-01   3.1416e-02
