
    STEP   DAMPING               NORMS              COMPUTATION TIMES
  IT SIT     GAMMA     ||d||     ||f||     ||U||   F(x)  DF(x)  SOLVE
   0                          0.00e+00  3.14e-02    0.0    0.0    0.0

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   3.1416e-02      1  EP      0.0000e+00   3.1416e-02
   29  00:00:00   3.4452e-02      2  EP     -1.0000e-02   3.1416e-02

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   3.1416e-02      3  EP      0.0000e+00   3.1416e-02
   52  00:00:00   4.0496e-02      4  SN      1.8069e-02   3.1416e-02
   52  00:00:00   4.0496e-02      5  BP      1.8069e-02   3.1416e-02
   61  00:00:00   4.3462e-02      6  SN      2.1237e-02   3.1416e-02
   61  00:00:00   4.3462e-02      7  BP      2.1237e-02   3.1416e-02
   90  00:00:00   5.4608e-02      8  SN      3.1584e-02   3.1416e-02
   90  00:00:00   5.4608e-02      9  BP      3.1584e-02   3.1416e-02
   95  00:00:00   5.6679e-02     10  SN      3.3358e-02   3.1416e-02
   95  00:00:00   5.6679e-02     11  BP      3.3358e-02   3.1416e-02
  125  00:00:01   6.9845e-02     12  SN      4.4110e-02   3.1416e-02
  125  00:00:01   6.9845e-02     13  BP      4.4110e-02   3.1416e-02
  140  00:00:01   7.6388e-02     14  SN      4.9235e-02   3.1416e-02
  140  00:00:01   7.6388e-02     15  BP      4.9235e-02   3.1416e-02
  889  00:00:04   4.4540e-01     16  UZ      3.1416e-01   3.1416e-02
 1778  00:00:08   8.8913e-01     17  EP      6.2832e-01   3.1416e-02
