
    STEP   DAMPING               NORMS              COMPUTATION TIMES
  IT SIT     GAMMA     ||d||     ||f||     ||U||   F(x)  DF(x)  SOLVE
   0                          0.00e+00  1.26e-02    0.0    0.0    0.0

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   1.2566e-02      1  EP      0.0000e+00   1.2566e-02
    1  00:00:00   1.2567e-02      2  EP     -1.0000e-04   1.2566e-02

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   1.2566e-02      3  EP      0.0000e+00   1.2566e-02
   11  00:00:00   1.6223e-02      4  SN      7.2552e-03   1.2566e-02
   11  00:00:00   1.6223e-02      5  BP      7.2552e-03   1.2566e-02
   13  00:00:00   1.7499e-02      6  SN      8.6113e-03   1.2566e-02
   13  00:00:01   1.7499e-02      7  BP      8.6113e-03   1.2566e-02
   16  00:00:01   1.9774e-02      8  HB      1.0795e-02   1.2566e-02
   19  00:00:01   2.2114e-02      9  SN      1.2867e-02   1.2566e-02
   19  00:00:01   2.2114e-02     10  BP      1.2867e-02   1.2566e-02
   21  00:00:01   2.4063e-02     11  SN      1.4510e-02   1.2566e-02
   21  00:00:01   2.4063e-02     12  BP      1.4510e-02   1.2566e-02
   25  00:00:01   2.7142e-02     13  SN      1.7012e-02   1.2566e-02
   25  00:00:01   2.7142e-02     14  BP      1.7012e-02   1.2566e-02
   27  00:00:01   2.9132e-02     15  HB      1.8584e-02   1.2566e-02
   29  00:00:02   3.1233e-02     16  SN      2.0218e-02   1.2566e-02
   29  00:00:02   3.1233e-02     17  BP      2.0218e-02   1.2566e-02
   31  00:00:02   3.3247e-02     18  SN      2.1766e-02   1.2566e-02
   31  00:00:02   3.3247e-02     19  BP      2.1766e-02   1.2566e-02
   35  00:00:02   3.6930e-02     20  SN      2.4555e-02   1.2566e-02
   35  00:00:02   3.6930e-02     21  BP      2.4555e-02   1.2566e-02
   38  00:00:02   3.9254e-02     22  HB      2.6296e-02   1.2566e-02
   40  00:00:02   4.1416e-02     23  SN      2.7905e-02   1.2566e-02
   40  00:00:02   4.1416e-02     24  BP      2.7905e-02   1.2566e-02
   42  00:00:03   4.2922e-02     25  SN      2.9021e-02   1.2566e-02
   42  00:00:03   4.2922e-02     26  BP      2.9021e-02   1.2566e-02
   46  00:00:03   4.7679e-02     27  SN      3.2522e-02   1.2566e-02
   46  00:00:03   4.7679e-02     28  BP      3.2522e-02   1.2566e-02
   49  00:00:03   4.9832e-02     29  HB      3.4098e-02   1.2566e-02
   51  00:00:03   5.1799e-02     30  SN      3.5533e-02   1.2566e-02
   51  00:00:03   5.1799e-02     31  BP      3.5533e-02   1.2566e-02
   52  00:00:03   5.2819e-02     32  SN      3.6276e-02   1.2566e-02
   52  00:00:03   5.2819e-02     33  BP      3.6276e-02   1.2566e-02
  889  00:00:09   8.8867e-01     34  EP      6.2832e-01   1.2566e-02
