
 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   1.6223e-02      1  EP      7.2552e-03   1.2566e-02
    1  00:00:00   1.6223e-02      2  SN      7.2552e-03   1.2566e-02
    1  00:00:00   1.6195e-02      3  FP      7.2175e-03   1.2566e-02
  699  00:00:04   7.0248e-01      4  UZ      3.1416e-01   1.2566e-02
 1401  00:00:08   1.4050e+00      5  EP      6.2832e-01   1.2566e-02

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:08   1.6223e-02      6  EP      7.2552e-03   1.2566e-02
    1  00:00:08   1.6223e-02      7  BP      7.2552e-03   1.2566e-02
    1  00:00:08   1.6315e-02      8  FP      7.3238e-03   1.2566e-02
    2  00:00:09   1.6315e-02      9  SN      7.3238e-03   1.2566e-02
    2  00:00:09   1.6350e-02     10  FP      7.3130e-03   1.2566e-02
  698  00:00:13   7.0248e-01     11  UZ      3.1416e-01   1.2566e-02
 1401  00:00:18   1.4050e+00     12  EP      6.2832e-01   1.2566e-02
