
 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   1.5974e-02      1  EP      6.9736e-03   1.2566e-02
    1  00:00:00   1.5974e-02      2  SN      6.9736e-03   1.2566e-02
    1  00:00:00   1.5948e-02      3  FP      6.9372e-03   1.2566e-02
  713  00:00:04   7.1669e-01      4  UZ      3.1416e-01   1.2566e-02
 1430  00:00:08   1.4334e+00      5  EP      6.2832e-01   1.2566e-02

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:08   1.5974e-02      6  EP      6.9736e-03   1.2566e-02
    1  00:00:08   1.5974e-02      7  BP      6.9736e-03   1.2566e-02
    1  00:00:09   1.6063e-02      8  FP      7.0400e-03   1.2566e-02
    2  00:00:09   1.6064e-02      9  SN      7.0400e-03   1.2566e-02
    2  00:00:09   1.6101e-02     10  FP      7.0289e-03   1.2566e-02
  713  00:00:13   7.1669e-01     11  UZ      3.1416e-01   1.2566e-02
 1429  00:00:18   1.4334e+00     12  EP      6.2832e-01   1.2566e-02
