
    STEP   DAMPING               NORMS              COMPUTATION TIMES
  IT SIT     GAMMA     ||d||     ||f||     ||U||   F(x)  DF(x)  SOLVE
   0                          0.00e+00  1.26e-02    0.0    0.0    0.0

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   1.2566e-02      1  EP      0.0000e+00   1.2566e-02
    1  00:00:00   1.2567e-02      2  EP     -1.0000e-04   1.2566e-02

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   1.2566e-02      3  EP      0.0000e+00   1.2566e-02
   10  00:00:00   1.5974e-02      4  SN      6.9736e-03   1.2566e-02
   10  00:00:00   1.5974e-02      5  BP      6.9736e-03   1.2566e-02
   12  00:00:00   1.7134e-02      6  SN      8.2355e-03   1.2566e-02
   12  00:00:00   1.7134e-02      7  BP      8.2355e-03   1.2566e-02
   15  00:00:00   1.9218e-02      8  HB      1.0281e-02   1.2566e-02
   18  00:00:00   2.1656e-02      9  SN      1.2472e-02   1.2566e-02
   18  00:00:00   2.1656e-02     10  BP      1.2472e-02   1.2566e-02
   20  00:00:00   2.3387e-02     11  SN      1.3947e-02   1.2566e-02
   20  00:00:00   2.3387e-02     12  BP      1.3947e-02   1.2566e-02
   24  00:00:00   2.6617e-02     13  SN      1.6591e-02   1.2566e-02
   24  00:00:00   2.6617e-02     14  BP      1.6591e-02   1.2566e-02
   26  00:00:00   2.8008e-02     15  HB      1.7699e-02   1.2566e-02
   28  00:00:01   3.0340e-02     16  SN      1.9527e-02   1.2566e-02
   28  00:00:01   3.0340e-02     17  BP      1.9527e-02   1.2566e-02
   30  00:00:01   3.2165e-02     18  SN      2.0936e-02   1.2566e-02
   30  00:00:01   3.2165e-02     19  BP      2.0936e-02   1.2566e-02
   34  00:00:01   3.6175e-02     20  SN      2.3987e-02   1.2566e-02
   34  00:00:01   3.6175e-02     21  BP      2.3987e-02   1.2566e-02
   38  00:00:01   3.9936e-02     22  SN      2.6804e-02   1.2566e-02
   38  00:00:01   3.9936e-02     23  BP      2.6804e-02   1.2566e-02
   40  00:00:01   4.1460e-02     24  SN      2.7938e-02   1.2566e-02
   40  00:00:01   4.1460e-02     25  BP      2.7938e-02   1.2566e-02
   46  00:00:01   4.6848e-02     26  SN      3.1913e-02   1.2566e-02
   46  00:00:01   4.6848e-02     27  BP      3.1913e-02   1.2566e-02
   49  00:00:02   4.9642e-02     28  SN      3.3959e-02   1.2566e-02
   49  00:00:02   4.9642e-02     29  BP      3.3959e-02   1.2566e-02
   50  00:00:02   5.1046e-02     30  SN      3.4984e-02   1.2566e-02
   50  00:00:02   5.1046e-02     31  BP      3.4984e-02   1.2566e-02
  889  00:00:06   8.8867e-01     32  EP      6.2832e-01   1.2566e-02
