
    STEP   DAMPING               NORMS              COMPUTATION TIMES
  IT SIT     GAMMA     ||d||     ||f||     ||U||   F(x)  DF(x)  SOLVE
   0                          0.00e+00  2.36e-02    0.0    0.0    0.0

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   2.3562e-02      1  EP      0.0000e+00   2.3562e-02
   15  00:00:00   2.7480e-02      2  EP     -1.0000e-02   2.3562e-02

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   2.3562e-02      3  EP      0.0000e+00   2.3562e-02
   20  00:00:00   3.0418e-02      4  SN      1.3603e-02   2.3562e-02
   20  00:00:00   3.0418e-02      5  BP      1.3603e-02   2.3562e-02
   24  00:00:00   3.3174e-02      6  SN      1.6513e-02   2.3562e-02
   24  00:00:00   3.3174e-02      7  BP      1.6513e-02   2.3562e-02
   30  00:00:00   3.7666e-02      8  HB      2.0780e-02   2.3562e-02
   35  00:00:00   4.1958e-02      9  SN      2.4549e-02   2.3562e-02
   35  00:00:00   4.1958e-02     10  BP      2.4549e-02   2.3562e-02
   39  00:00:01   4.5118e-02     11  BP      2.7207e-02   2.3562e-02
   39  00:00:01   4.5118e-02     12  SN      2.7207e-02   2.3562e-02
   47  00:00:01   5.2101e-02     13  SN      3.2858e-02   2.3562e-02
   47  00:00:01   5.2101e-02     14  BP      3.2858e-02   2.3562e-02
   51  00:00:01   5.6089e-02     15  HB      3.5991e-02   2.3562e-02
   56  00:00:01   6.0043e-02     16  SN      3.9051e-02   2.3562e-02
   56  00:00:01   6.0043e-02     17  BP      3.9051e-02   2.3562e-02
   58  00:00:01   6.2339e-02     18  SN      4.0810e-02   2.3562e-02
   58  00:00:01   6.2339e-02     19  BP      4.0810e-02   2.3562e-02
  889  00:00:05   8.8889e-01     20  EP      6.2832e-01   2.3562e-02
