
 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   3.0668e-02      1  EP      1.3555e-02   2.3939e-02
    1  00:00:00   3.0668e-02      2  SN      1.3555e-02   2.3939e-02
    1  00:00:00   3.0627e-02      3  FP      1.3495e-02   2.3939e-02
  539  00:00:02   5.4999e-01      4  UZ      2.7332e-01   2.3939e-02
 1254  00:00:06   1.2640e+00      5  EP      6.2832e-01   2.3939e-02

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:06   3.0668e-02      6  EP      1.3555e-02   2.3939e-02
    1  00:00:07   3.0668e-02      7  BP      1.3555e-02   2.3939e-02
    1  00:00:07   3.0730e-02      8  FP      1.3607e-02   2.3939e-02
    2  00:00:08   3.0730e-02      9  SN      1.3607e-02   2.3939e-02
    2  00:00:08   3.0750e-02     10  FP      1.3595e-02   2.3939e-02
  539  00:00:10   5.4999e-01     11  UZ      2.7332e-01   2.3939e-02
 1253  00:00:13   1.2640e+00     12  EP      6.2832e-01   2.3939e-02
