
    STEP   DAMPING               NORMS              COMPUTATION TIMES
  IT SIT     GAMMA     ||d||     ||f||     ||U||   F(x)  DF(x)  SOLVE
   0                          0.00e+00  2.39e-02    0.0    0.0    0.0

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   2.3939e-02      1  EP      0.0000e+00   2.3939e-02
   15  00:00:00   2.7804e-02      2  EP     -1.0000e-02   2.3939e-02

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   2.3939e-02      3  EP      0.0000e+00   2.3939e-02
   20  00:00:00   3.0668e-02      4  SN      1.3555e-02   2.3939e-02
   20  00:00:00   3.0668e-02      5  BP      1.3555e-02   2.3939e-02
   24  00:00:00   3.3384e-02      6  SN      1.6453e-02   2.3939e-02
   24  00:00:00   3.3384e-02      7  BP      1.6453e-02   2.3939e-02
   29  00:00:00   3.7380e-02      8  SN      2.0300e-02   2.3939e-02
   29  00:00:00   3.7380e-02      9  BP      2.0300e-02   2.3939e-02
   30  00:00:00   3.8136e-02     10  SN      2.0992e-02   2.3939e-02
   30  00:00:00   3.8136e-02     11  BP      2.0992e-02   2.3939e-02
   35  00:00:00   4.2147e-02     12  SN      2.4528e-02   2.3939e-02
   35  00:00:00   4.2147e-02     13  BP      2.4528e-02   2.3939e-02
   39  00:00:00   4.5278e-02     14  SN      2.7175e-02   2.3939e-02
   39  00:00:00   4.5278e-02     15  BP      2.7175e-02   2.3939e-02
   47  00:00:00   5.2487e-02     16  SN      3.3029e-02   2.3939e-02
   47  00:00:00   5.2487e-02     17  BP      3.3029e-02   2.3939e-02
   50  00:00:01   5.5163e-02     18  SN      3.5142e-02   2.3939e-02
   50  00:00:01   5.5163e-02     19  BP      3.5142e-02   2.3939e-02
   52  00:00:01   5.6712e-02     20  SN      3.6354e-02   2.3939e-02
   52  00:00:01   5.6712e-02     21  BP      3.6354e-02   2.3939e-02
   55  00:00:01   5.9877e-02     22  BP      3.8809e-02   2.3939e-02
   55  00:00:01   5.9877e-02     23  SN      3.8809e-02   2.3939e-02
   58  00:00:01   6.2593e-02     24  SN      4.0895e-02   2.3939e-02
   58  00:00:01   6.2593e-02     25  BP      4.0895e-02   2.3939e-02
  889  00:00:04   8.8890e-01     26  EP      6.2832e-01   2.3939e-02
