
 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   1.7499e-02      1  EP      8.6113e-03   1.2566e-02
    1  00:00:00   1.7499e-02      2  SN      8.6113e-03   1.2566e-02
    1  00:00:00   1.7462e-02      3  FP      8.5681e-03   1.2566e-02
    8  00:00:00   1.9061e-02      4  SN      9.3393e-03   1.2566e-02
    8  00:00:00   1.9061e-02      5  BP      9.3393e-03   1.2566e-02
   52  00:00:00   5.8040e-02      6  SN      2.8162e-02   1.2566e-02
   52  00:00:00   5.8040e-02      7  BP      2.8162e-02   1.2566e-02
  643  00:00:03   6.4766e-01      8  UZ      3.1416e-01   1.2566e-02
 1290  00:00:07   1.2953e+00      9  EP      6.2832e-01   1.2566e-02

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:07   1.7499e-02     10  EP      8.6113e-03   1.2566e-02
    1  00:00:07   1.7499e-02     11  BP      8.6113e-03   1.2566e-02
    1  00:00:07   1.7605e-02     12  FP      8.6905e-03   1.2566e-02
    2  00:00:07   1.7606e-02     13  SN      8.6905e-03   1.2566e-02
    2  00:00:07   1.7631e-02     14  FP      8.6809e-03   1.2566e-02
    7  00:00:08   1.9068e-02     15  SN      9.3445e-03   1.2566e-02
    7  00:00:08   1.9068e-02     16  BP      9.3445e-03   1.2566e-02
   51  00:00:08   5.8052e-02     17  SN      2.8168e-02   1.2566e-02
   51  00:00:08   5.8052e-02     18  BP      2.8168e-02   1.2566e-02
  642  00:00:11   6.4766e-01     19  UZ      3.1416e-01   1.2566e-02
 1290  00:00:15   1.2953e+00     20  EP      6.2832e-01   1.2566e-02
