
 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   1.6170e-02      1  EP      7.1957e-03   1.2566e-02
    1  00:00:00   1.6170e-02      2  SN      7.1957e-03   1.2566e-02
    1  00:00:00   1.6142e-02      3  FP      7.1580e-03   1.2566e-02
  700  00:00:04   7.0392e-01      4  UZ      3.1416e-01   1.2566e-02
 1404  00:00:07   1.4078e+00      5  EP      6.2832e-01   1.2566e-02

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:07   1.6170e-02      6  EP      7.1957e-03   1.2566e-02
    1  00:00:08   1.6170e-02      7  BP      7.1957e-03   1.2566e-02
    1  00:00:08   1.6262e-02      8  FP      7.2644e-03   1.2566e-02
    2  00:00:08   1.6262e-02      9  SN      7.2644e-03   1.2566e-02
    2  00:00:08   1.6297e-02     10  FP      7.2536e-03   1.2566e-02
  700  00:00:12   7.0392e-01     11  UZ      3.1416e-01   1.2566e-02
 1404  00:00:16   1.4078e+00     12  EP      6.2832e-01   1.2566e-02
