
    STEP   DAMPING               NORMS              COMPUTATION TIMES
  IT SIT     GAMMA     ||d||     ||f||     ||U||   F(x)  DF(x)  SOLVE
   0                          0.00e+00  1.26e-02    0.0    0.0    0.0

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   1.2566e-02      1  EP      0.0000e+00   1.2566e-02
    1  00:00:00   1.2567e-02      2  EP     -1.0000e-04   1.2566e-02

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   1.2566e-02      3  EP      0.0000e+00   1.2566e-02
   11  00:00:00   1.6170e-02      4  SN      7.1957e-03   1.2566e-02
   11  00:00:00   1.6170e-02      5  BP      7.1957e-03   1.2566e-02
   13  00:00:00   1.7421e-02      6  SN      8.5313e-03   1.2566e-02
   13  00:00:00   1.7421e-02      7  BP      8.5313e-03   1.2566e-02
   19  00:00:00   2.2025e-02      8  SN      1.2790e-02   1.2566e-02
   19  00:00:00   2.2025e-02      9  BP      1.2790e-02   1.2566e-02
   21  00:00:00   2.3924e-02     10  SN      1.4395e-02   1.2566e-02
   21  00:00:00   2.3924e-02     11  BP      1.4395e-02   1.2566e-02
   24  00:00:00   2.7020e-02     12  SN      1.6914e-02   1.2566e-02
   24  00:00:00   2.7020e-02     13  BP      1.6914e-02   1.2566e-02
   26  00:00:01   2.8782e-02     14  SN      1.8309e-02   1.2566e-02
   26  00:00:01   2.8782e-02     15  BP      1.8309e-02   1.2566e-02
   27  00:00:01   2.9011e-02     16  SN      1.8489e-02   1.2566e-02
   27  00:00:01   2.9011e-02     17  BP      1.8489e-02   1.2566e-02
   29  00:00:01   3.1069e-02     18  SN      2.0092e-02   1.2566e-02
   29  00:00:01   3.1069e-02     19  BP      2.0092e-02   1.2566e-02
   31  00:00:01   3.3031e-02     20  SN      2.1600e-02   1.2566e-02
   31  00:00:01   3.3031e-02     21  BP      2.1600e-02   1.2566e-02
   35  00:00:02   3.6752e-02     22  SN      2.4421e-02   1.2566e-02
   35  00:00:02   3.6752e-02     23  BP      2.4421e-02   1.2566e-02
   37  00:00:02   3.8709e-02     24  HB      2.5889e-02   1.2566e-02
   40  00:00:02   4.1149e-02     25  SN      2.7706e-02   1.2566e-02
   40  00:00:02   4.1149e-02     26  BP      2.7706e-02   1.2566e-02
   41  00:00:02   4.2651e-02     27  SN      2.8820e-02   1.2566e-02
   41  00:00:02   4.2651e-02     28  BP      2.8820e-02   1.2566e-02
   46  00:00:02   4.7483e-02     29  SN      3.2378e-02   1.2566e-02
   46  00:00:02   4.7483e-02     30  BP      3.2378e-02   1.2566e-02
   50  00:00:02   5.1406e-02     31  SN      3.5247e-02   1.2566e-02
   50  00:00:02   5.1406e-02     32  BP      3.5247e-02   1.2566e-02
   52  00:00:02   5.2551e-02     33  SN      3.6081e-02   1.2566e-02
   52  00:00:02   5.2551e-02     34  BP      3.6081e-02   1.2566e-02
  889  00:00:07   8.8867e-01     35  EP      6.2832e-01   1.2566e-02
