
 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   3.2446e-02      1  EP      1.4510e-02   2.5133e-02
    1  00:00:00   3.2446e-02      2  SN      1.4510e-02   2.5133e-02
    1  00:00:00   3.2421e-02      3  FP      1.4470e-02   2.5133e-02
  692  00:00:03   7.0248e-01      4  UZ      3.1416e-01   2.5133e-02
 1395  00:00:07   1.4050e+00      5  EP      6.2832e-01   2.5133e-02

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:07   3.2446e-02      6  EP      1.4510e-02   2.5133e-02
    1  00:00:07   3.2446e-02      7  BP      1.4510e-02   2.5133e-02
    1  00:00:07   3.2492e-02      8  FP      1.4545e-02   2.5133e-02
    2  00:00:08   3.2492e-02      9  SN      1.4545e-02   2.5133e-02
    2  00:00:08   3.2513e-02     10  FP      1.4537e-02   2.5133e-02
  692  00:00:11   7.0248e-01     11  UZ      3.1416e-01   2.5133e-02
 1394  00:00:15   1.4050e+00     12  EP      6.2832e-01   2.5133e-02
