
    STEP   DAMPING               NORMS              COMPUTATION TIMES
  IT SIT     GAMMA     ||d||     ||f||     ||U||   F(x)  DF(x)  SOLVE
   0                          0.00e+00  2.51e-02    0.0    0.0    0.0

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   2.5133e-02      1  EP      0.0000e+00   2.5133e-02
   15  00:00:00   2.8838e-02      2  EP     -1.0000e-02   2.5133e-02

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   2.5133e-02      3  EP      0.0000e+00   2.5133e-02
   21  00:00:00   3.2446e-02      4  SN      1.4510e-02   2.5133e-02
   21  00:00:00   3.2446e-02      5  BP      1.4510e-02   2.5133e-02
   25  00:00:00   3.4998e-02      6  SN      1.7223e-02   2.5133e-02
   25  00:00:00   3.4998e-02      7  BP      1.7223e-02   2.5133e-02
   31  00:00:00   3.9547e-02      8  HB      2.1591e-02   2.5133e-02
   31  00:00:00   3.9547e-02      9  UZ      2.1591e-02   2.5133e-02
   37  00:00:00   4.4229e-02     10  SN      2.5734e-02   2.5133e-02
   37  00:00:00   4.4229e-02     11  BP      2.5734e-02   2.5133e-02
   42  00:00:00   4.8126e-02     12  SN      2.9021e-02   2.5133e-02
   42  00:00:00   4.8126e-02     13  BP      2.9021e-02   2.5133e-02
   49  00:00:01   5.4284e-02     14  SN      3.4023e-02   2.5133e-02
   49  00:00:01   5.4284e-02     15  BP      3.4023e-02   2.5133e-02
   53  00:00:01   5.8264e-02     16  HB      3.7168e-02   2.5133e-02
   53  00:00:01   5.8264e-02     17  UZ      3.7168e-02   2.5133e-02
   58  00:00:01   6.2465e-02     18  SN      4.0437e-02   2.5133e-02
   58  00:00:01   6.2465e-02     19  BP      4.0437e-02   2.5133e-02
   62  00:00:01   6.6495e-02     20  SN      4.3531e-02   2.5133e-02
   62  00:00:01   6.6495e-02     21  BP      4.3531e-02   2.5133e-02
   70  00:00:01   7.3859e-02     22  SN      4.9110e-02   2.5133e-02
   70  00:00:01   7.3859e-02     23  BP      4.9110e-02   2.5133e-02
   75  00:00:01   7.8509e-02     24  HB      5.2593e-02   2.5133e-02
   75  00:00:01   7.8509e-02     25  UZ      5.2593e-02   2.5133e-02
   79  00:00:02   8.2831e-02     26  SN      5.5809e-02   2.5133e-02
   79  00:00:02   8.2831e-02     27  BP      5.5809e-02   2.5133e-02
   83  00:00:02   8.5845e-02     28  SN      5.8042e-02   2.5133e-02
   83  00:00:02   8.5845e-02     29  BP      5.8042e-02   2.5133e-02
   92  00:00:02   9.5357e-02     30  SN      6.5044e-02   2.5133e-02
   92  00:00:02   9.5357e-02     31  BP      6.5044e-02   2.5133e-02
   97  00:00:02   9.9664e-02     32  HB      6.8195e-02   2.5133e-02
   97  00:00:02   9.9664e-02     33  UZ      6.8195e-02   2.5133e-02
  101  00:00:02   1.0360e-01     34  SN      7.1066e-02   2.5133e-02
  101  00:00:02   1.0360e-01     35  BP      7.1066e-02   2.5133e-02
  103  00:00:02   1.0564e-01     36  SN      7.2552e-02   2.5133e-02
  103  00:00:02   1.0564e-01     37  BP      7.2552e-02   2.5133e-02
  889  00:00:06   8.8893e-01     38  EP      6.2832e-01   2.5133e-02
