
 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   3.2306e-02      1  EP      1.4353e-02   2.5133e-02
    1  00:00:00   3.2306e-02      2  SN      1.4353e-02   2.5133e-02
    1  00:00:00   3.2278e-02      3  FP      1.4310e-02   2.5133e-02
  657  00:00:03   6.6742e-01      4  UZ      2.9845e-01   2.5133e-02
 1395  00:00:07   1.4051e+00      5  EP      6.2832e-01   2.5133e-02

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:07   3.2306e-02      6  EP      1.4353e-02   2.5133e-02
    1  00:00:07   3.2306e-02      7  BP      1.4353e-02   2.5133e-02
    1  00:00:07   3.2354e-02      8  FP      1.4390e-02   2.5133e-02
    2  00:00:08   3.2354e-02      9  SN      1.4390e-02   2.5133e-02
    2  00:00:08   3.2375e-02     10  FP      1.4382e-02   2.5133e-02
  657  00:00:11   6.6742e-01     11  UZ      2.9845e-01   2.5133e-02
 1395  00:00:15   1.4051e+00     12  EP      6.2832e-01   2.5133e-02
