
    STEP   DAMPING               NORMS              COMPUTATION TIMES
  IT SIT     GAMMA     ||d||     ||f||     ||U||   F(x)  DF(x)  SOLVE
   0                          0.00e+00  2.51e-02    0.0    0.0    0.0

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   2.5133e-02      1  EP      0.0000e+00   2.5133e-02
   15  00:00:00   2.8838e-02      2  EP     -1.0000e-02   2.5133e-02

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   2.5133e-02      3  EP      0.0000e+00   2.5133e-02
   21  00:00:00   3.2306e-02      4  SN      1.4353e-02   2.5133e-02
   21  00:00:00   3.2306e-02      5  BP      1.4353e-02   2.5133e-02
   25  00:00:00   3.4928e-02      6  SN      1.7151e-02   2.5133e-02
   25  00:00:00   3.4928e-02      7  BP      1.7151e-02   2.5133e-02
   30  00:00:00   3.8652e-02      8  SN      2.0765e-02   2.5133e-02
   30  00:00:00   3.8652e-02      9  BP      2.0765e-02   2.5133e-02
   32  00:00:00   4.0105e-02     10  SN      2.2099e-02   2.5133e-02
   32  00:00:00   4.0105e-02     11  BP      2.2099e-02   2.5133e-02
   37  00:00:00   4.3992e-02     12  SN      2.5531e-02   2.5133e-02
   37  00:00:00   4.3992e-02     13  BP      2.5531e-02   2.5133e-02
   41  00:00:00   4.7946e-02     14  SN      2.8872e-02   2.5133e-02
   41  00:00:00   4.7946e-02     15  BP      2.8872e-02   2.5133e-02
   48  00:00:01   5.4097e-02     16  SN      3.3874e-02   2.5133e-02
   48  00:00:01   5.4097e-02     17  BP      3.3874e-02   2.5133e-02
   51  00:00:01   5.6465e-02     18  SN      3.5753e-02   2.5133e-02
   51  00:00:01   5.6465e-02     19  BP      3.5753e-02   2.5133e-02
   54  00:00:01   5.9382e-02     20  SN      3.8043e-02   2.5133e-02
   54  00:00:01   5.9382e-02     21  BP      3.8043e-02   2.5133e-02
   57  00:00:01   6.1945e-02     22  SN      4.0034e-02   2.5133e-02
   57  00:00:01   6.1945e-02     23  BP      4.0034e-02   2.5133e-02
   62  00:00:01   6.6352e-02     24  SN      4.3422e-02   2.5133e-02
   62  00:00:01   6.6352e-02     25  BP      4.3422e-02   2.5133e-02
   70  00:00:01   7.3534e-02     26  SN      4.8865e-02   2.5133e-02
   70  00:00:01   7.3534e-02     27  BP      4.8865e-02   2.5133e-02
   72  00:00:01   7.5830e-02     28  SN      5.0589e-02   2.5133e-02
   72  00:00:01   7.5830e-02     29  BP      5.0589e-02   2.5133e-02
   77  00:00:01   8.0169e-02     30  SN      5.3830e-02   2.5133e-02
   77  00:00:02   8.0169e-02     31  BP      5.3830e-02   2.5133e-02
   78  00:00:02   8.1670e-02     32  SN      5.4947e-02   2.5133e-02
   78  00:00:02   8.1670e-02     33  BP      5.4947e-02   2.5133e-02
   83  00:00:02   8.6176e-02     34  SN      5.8287e-02   2.5133e-02
   83  00:00:02   8.6176e-02     35  BP      5.8287e-02   2.5133e-02
   92  00:00:02   9.4608e-02     36  SN      6.4494e-02   2.5133e-02
   92  00:00:02   9.4608e-02     37  BP      6.4494e-02   2.5133e-02
   93  00:00:02   9.6257e-02     38  SN      6.5703e-02   2.5133e-02
   93  00:00:02   9.6257e-02     39  BP      6.5703e-02   2.5133e-02
   99  00:00:02   1.0212e-01     40  HB      6.9992e-02   2.5133e-02
  104  00:00:02   1.0681e-01     41  SN      7.3409e-02   2.5133e-02
  104  00:00:02   1.0681e-01     42  BP      7.3409e-02   2.5133e-02
  889  00:00:06   8.8893e-01     43  EP      6.2832e-01   2.5133e-02
