
 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   3.9186e-02      1  EP      1.6562e-02   3.1416e-02
    1  00:00:00   3.9186e-02      2  SN      1.6562e-02   3.1416e-02
    1  00:00:00   3.9158e-02      3  FP      1.6519e-02   3.1416e-02
  150  00:00:00   1.6513e-01      4  UZ      7.8540e-02   3.1416e-02
  315  00:00:01   3.2858e-01      5  UZ      1.5708e-01   3.1416e-02
  479  00:00:02   4.9240e-01      6  UZ      2.3562e-01   3.1416e-02
  558  00:00:02   5.7108e-01      7  UZ      2.7332e-01   3.1416e-02
 1300  00:00:05   1.3122e+00      8  EP      6.2832e-01   3.1416e-02

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:06   3.9186e-02      9  EP      1.6562e-02   3.1416e-02
    1  00:00:06   3.9186e-02     10  BP      1.6562e-02   3.1416e-02
    1  00:00:06   3.9230e-02     11  FP      1.6599e-02   3.1416e-02
    2  00:00:06   3.9230e-02     12  SN      1.6599e-02   3.1416e-02
    2  00:00:06   3.9246e-02     13  FP      1.6590e-02   3.1416e-02
  149  00:00:07   1.6513e-01     14  UZ      7.8540e-02   3.1416e-02
  314  00:00:08   3.2858e-01     15  UZ      1.5708e-01   3.1416e-02
  479  00:00:09   4.9240e-01     16  UZ      2.3562e-01   3.1416e-02
  557  00:00:10   5.7108e-01     17  UZ      2.7332e-01   3.1416e-02
 1299  00:00:13   1.3122e+00     18  EP      6.2832e-01   3.1416e-02
