
 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   3.0905e-02      1  EP      1.3821e-02   2.3939e-02
    1  00:00:01   3.0905e-02      2  SN      1.3821e-02   2.3939e-02
    1  00:00:01   3.0878e-02      3  FP      1.3779e-02   2.3939e-02
  693  00:00:05   7.0248e-01      4  UZ      3.1416e-01   2.3939e-02
 1395  00:00:10   1.4050e+00      5  EP      6.2832e-01   2.3939e-02

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:10   3.0905e-02      6  EP      1.3821e-02   2.3939e-02
    1  00:00:10   3.0905e-02      7  BP      1.3821e-02   2.3939e-02
    1  00:00:10   3.0953e-02      8  FP      1.3857e-02   2.3939e-02
    2  00:00:11   3.0954e-02      9  SN      1.3857e-02   2.3939e-02
    2  00:00:11   3.0975e-02     10  FP      1.3849e-02   2.3939e-02
  692  00:00:15   7.0248e-01     11  UZ      3.1416e-01   2.3939e-02
 1395  00:00:21   1.4050e+00     12  EP      6.2832e-01   2.3939e-02
