
    STEP   DAMPING               NORMS              COMPUTATION TIMES
  IT SIT     GAMMA     ||d||     ||f||     ||U||   F(x)  DF(x)  SOLVE
   0                          0.00e+00  2.39e-02    0.0    0.0    0.0

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   2.3939e-02      1  EP      0.0000e+00   2.3939e-02
   15  00:00:00   2.7804e-02      2  EP     -1.0000e-02   2.3939e-02

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   2.3939e-02      3  EP      0.0000e+00   2.3939e-02
   20  00:00:00   3.0905e-02      4  SN      1.3821e-02   2.3939e-02
   20  00:00:00   3.0905e-02      5  BP      1.3821e-02   2.3939e-02
   24  00:00:00   3.3203e-02      6  SN      1.6269e-02   2.3939e-02
   24  00:00:00   3.3203e-02      7  BP      1.6269e-02   2.3939e-02
   29  00:00:00   3.7420e-02      8  HB      2.0337e-02   2.3939e-02
   29  00:00:00   3.7420e-02      9  UZ      2.0337e-02   2.3939e-02
   35  00:00:00   4.1880e-02     10  SN      2.4299e-02   2.3939e-02
   35  00:00:00   4.1880e-02     11  BP      2.4299e-02   2.3939e-02
   40  00:00:01   4.5840e-02     12  SN      2.7642e-02   2.3939e-02
   40  00:00:01   4.5840e-02     13  BP      2.7642e-02   2.3939e-02
   46  00:00:01   5.1234e-02     14  SN      3.2030e-02   2.3939e-02
   46  00:00:01   5.1234e-02     15  BP      3.2030e-02   2.3939e-02
   50  00:00:01   5.4957e-02     16  HB      3.4980e-02   2.3939e-02
   50  00:00:01   5.4957e-02     17  UZ      3.4980e-02   2.3939e-02
   54  00:00:01   5.8876e-02     18  SN      3.8035e-02   2.3939e-02
   54  00:00:01   5.8876e-02     19  BP      3.8035e-02   2.3939e-02
   59  00:00:02   6.3336e-02     20  SN      4.1463e-02   2.3939e-02
   59  00:00:02   6.3336e-02     21  BP      4.1463e-02   2.3939e-02
   65  00:00:02   6.9186e-02     22  SN      4.5900e-02   2.3939e-02
   65  00:00:02   6.9186e-02     23  BP      4.5900e-02   2.3939e-02
   70  00:00:02   7.3866e-02     24  HB      4.9412e-02   2.3939e-02
   70  00:00:02   7.3866e-02     25  UZ      4.9412e-02   2.3939e-02
   75  00:00:02   7.8322e-02     26  SN      5.2732e-02   2.3939e-02
   75  00:00:02   7.8322e-02     27  BP      5.2732e-02   2.3939e-02
   79  00:00:02   8.1767e-02     28  SN      5.5285e-02   2.3939e-02
   79  00:00:02   8.1767e-02     29  BP      5.5285e-02   2.3939e-02
   87  00:00:03   8.9288e-02     30  SN      6.0825e-02   2.3939e-02
   87  00:00:03   8.9288e-02     31  BP      6.0825e-02   2.3939e-02
   91  00:00:03   9.3374e-02     32  HB      6.3818e-02   2.3939e-02
   91  00:00:03   9.3374e-02     33  UZ      6.3818e-02   2.3939e-02
   95  00:00:03   9.7485e-02     34  SN      6.6822e-02   2.3939e-02
   95  00:00:03   9.7485e-02     35  BP      6.6822e-02   2.3939e-02
   98  00:00:03   1.0062e-01     36  SN      6.9106e-02   2.3939e-02
   98  00:00:03   1.0062e-01     37  BP      6.9106e-02   2.3939e-02
  107  00:00:03   1.0926e-01     38  SN      7.5382e-02   2.3939e-02
  107  00:00:04   1.0926e-01     39  BP      7.5382e-02   2.3939e-02
  111  00:00:04   1.1327e-01     40  HB      7.8286e-02   2.3939e-02
  111  00:00:04   1.1327e-01     41  UZ      7.8286e-02   2.3939e-02
  115  00:00:04   1.1711e-01     42  SN      8.1059e-02   2.3939e-02
  115  00:00:04   1.1711e-01     43  BP      8.1059e-02   2.3939e-02
  118  00:00:04   1.1969e-01     44  SN      8.2927e-02   2.3939e-02
  118  00:00:04   1.1969e-01     45  BP      8.2927e-02   2.3939e-02
  128  00:00:04   1.2969e-01     46  SN      9.0127e-02   2.3939e-02
  128  00:00:04   1.2969e-01     47  BP      9.0127e-02   2.3939e-02
  132  00:00:04   1.3364e-01     48  HB      9.2966e-02   2.3939e-02
  132  00:00:04   1.3364e-01     49  UZ      9.2966e-02   2.3939e-02
  136  00:00:05   1.3715e-01     50  SN      9.5489e-02   2.3939e-02
  136  00:00:05   1.3715e-01     51  BP      9.5489e-02   2.3939e-02
  137  00:00:05   1.3890e-01     52  SN      9.6748e-02   2.3939e-02
  137  00:00:05   1.3890e-01     53  BP      9.6748e-02   2.3939e-02
  889  00:00:10   8.8890e-01     54  EP      6.2832e-01   2.3939e-02
