
 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   2.9231e-02      1  EP      1.1861e-02   2.3939e-02
    1  00:00:00   2.9231e-02      2  SN      1.1861e-02   2.3939e-02
    1  00:00:00   2.9212e-02      3  FP      1.1824e-02   2.3939e-02
  830  00:00:06   8.3737e-01      4  UZ      3.4558e-01   2.3939e-02
 1515  00:00:12   1.5224e+00      5  EP      6.2832e-01   2.3939e-02

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:12   2.9231e-02      6  EP      1.1861e-02   2.3939e-02
    1  00:00:12   2.9231e-02      7  BP      1.1861e-02   2.3939e-02
    1  00:00:12   2.9273e-02      8  FP      1.1893e-02   2.3939e-02
    2  00:00:12   2.9274e-02      9  SN      1.1893e-02   2.3939e-02
    2  00:00:13   2.9298e-02     10  FP      1.1886e-02   2.3939e-02
  830  00:00:18   8.3737e-01     11  UZ      3.4558e-01   2.3939e-02
 1515  00:00:25   1.5224e+00     12  EP      6.2832e-01   2.3939e-02
