
    STEP   DAMPING               NORMS              COMPUTATION TIMES
  IT SIT     GAMMA     ||d||     ||f||     ||U||   F(x)  DF(x)  SOLVE
   0                          1.00e-05  8.41e-02    0.0    0.0    0.0
   1   4  1.25e-01  8.48e-02  7.63e-06  8.61e-02    0.0    0.0    0.0
   2   4  7.47e-02  1.83e-01  3.76e-06  8.98e-02    0.0    0.0    0.0
   3   1  1.00e+00  3.75e-03  3.97e-07  9.25e-02    0.0    0.0    0.0
   4   1  1.00e+00  3.12e-04  3.45e-09  9.23e-02    0.0    0.0    0.0
   5   1  1.00e+00  2.98e-06  4.10e-13  9.23e-02    0.0    0.0    0.0
   6   1  1.00e+00  4.65e-10  1.33e-20  9.23e-02    0.0    0.0    0.0

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   9.2273e-02      1  EP      4.0875e-02   2.3939e-02
   73  00:00:00   3.1392e-02      2  SN      1.3512e-02   2.3939e-02
   73  00:00:00   3.1392e-02      3  BP      1.3512e-02   2.3939e-02
   77  00:00:00   2.9711e-02      4  SN      1.2238e-02   2.3939e-02
   77  00:00:00   2.9711e-02      5  BP      1.2238e-02   2.3939e-02
  113  00:00:01   2.7804e-02      6  EP     -1.0000e-02   2.3939e-02

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:01   9.2273e-02      7  EP      4.0875e-02   2.3939e-02
  693  00:00:05   7.8218e-01      8  UZ      3.4558e-01   2.3939e-02
 1333  00:00:10   1.4222e+00      9  EP      6.2832e-01   2.3939e-02
