
    STEP   DAMPING               NORMS              COMPUTATION TIMES
  IT SIT     GAMMA     ||d||     ||f||     ||U||   F(x)  DF(x)  SOLVE
   0                          3.79e-07  3.62e-02    0.0    0.0    0.0

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   3.6153e-02      1  EP      1.7679e-02   2.3939e-02
    1  00:00:00   3.5790e-02      2  SN      1.7091e-02   2.3939e-02
    1  00:00:00   3.6389e-02      3  FP      1.7632e-02   2.3939e-02
    5  00:00:00   3.7182e-02      4  SN      1.7234e-02   2.3939e-02
    5  00:00:00   3.7678e-02      5  BP      1.7835e-02   2.3939e-02
  760  00:00:05   7.8218e-01      6  UZ      3.4558e-01   2.3939e-02
 1400  00:00:09   1.4222e+00      7  EP      6.2832e-01   2.3939e-02

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:09   3.6153e-02      8  EP      1.7679e-02   2.3939e-02
    5  00:00:09   3.4653e-02      9  HB      1.7140e-02   2.3939e-02
   15  00:00:11   3.8932e-02     10  SN      2.1601e-02   2.3939e-02
   15  00:00:11   3.8932e-02     11  BP      2.1601e-02   2.3939e-02
   32  00:00:11   4.4855e-02     12  SN      2.5371e-02   2.3939e-02
   32  00:00:12   4.4855e-02     13  BP      2.5371e-02   2.3939e-02
  662  00:00:16   6.6397e-01     14  UZ      3.4558e-01   2.3939e-02
 1206  00:00:20   1.2076e+00     15  EP      6.2832e-01   2.3939e-02
