
    STEP   DAMPING               NORMS              COMPUTATION TIMES
  IT SIT     GAMMA     ||d||     ||f||     ||U||   F(x)  DF(x)  SOLVE
   0                          0.00e+00  2.39e-02    0.0    0.0    0.0

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   2.3939e-02      1  EP      0.0000e+00   2.3939e-02
   15  00:00:00   2.7804e-02      2  EP     -1.0000e-02   2.3939e-02

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   2.3939e-02      3  EP      0.0000e+00   2.3939e-02
   17  00:00:00   2.9231e-02      4  SN      1.1861e-02   2.3939e-02
   17  00:00:00   2.9231e-02      5  BP      1.1861e-02   2.3939e-02
   20  00:00:00   3.0814e-02      6  SN      1.3719e-02   2.3939e-02
   20  00:00:00   3.0814e-02      7  BP      1.3719e-02   2.3939e-02
   24  00:00:00   3.3875e-02      8  HB      1.6947e-02   2.3939e-02
   31  00:00:01   3.8729e-02      9  SN      2.1527e-02   2.3939e-02
   31  00:00:01   3.8729e-02     10  BP      2.1527e-02   2.3939e-02
   34  00:00:01   4.1185e-02     11  SN      2.3697e-02   2.3939e-02
   34  00:00:01   4.1185e-02     12  BP      2.3697e-02   2.3939e-02
   42  00:00:01   4.7659e-02     13  SN      2.9140e-02   2.3939e-02
   42  00:00:01   4.7659e-02     14  BP      2.9140e-02   2.3939e-02
   48  00:00:01   5.2995e-02     15  BP      3.3432e-02   2.3939e-02
   48  00:00:01   5.2995e-02     16  SN      3.3432e-02   2.3939e-02
   51  00:00:01   5.6137e-02     17  SN      3.5904e-02   2.3939e-02
   51  00:00:01   5.6137e-02     18  BP      3.5904e-02   2.3939e-02
   59  00:00:01   6.3588e-02     19  BP      4.1656e-02   2.3939e-02
   59  00:00:02   6.3588e-02     20  SN      4.1656e-02   2.3939e-02
   65  00:00:02   6.8593e-02     21  SN      4.5453e-02   2.3939e-02
   65  00:00:02   6.8593e-02     22  BP      4.5453e-02   2.3939e-02
   69  00:00:02   7.2179e-02     23  SN      4.8150e-02   2.3939e-02
   69  00:00:02   7.2179e-02     24  BP      4.8150e-02   2.3939e-02
   76  00:00:02   7.8929e-02     25  HB      5.3182e-02   2.3939e-02
   79  00:00:02   8.1591e-02     26  SN      5.5155e-02   2.3939e-02
   79  00:00:02   8.1591e-02     27  BP      5.5155e-02   2.3939e-02
   81  00:00:02   8.4458e-02     28  SN      5.7271e-02   2.3939e-02
   81  00:00:02   8.4458e-02     29  BP      5.7271e-02   2.3939e-02
   87  00:00:03   9.0136e-02     30  SN      6.1447e-02   2.3939e-02
   87  00:00:03   9.0136e-02     31  BP      6.1447e-02   2.3939e-02
   93  00:00:03   9.5525e-02     32  HB      6.5391e-02   2.3939e-02
   96  00:00:03   9.8332e-02     33  SN      6.7440e-02   2.3939e-02
   96  00:00:03   9.8332e-02     34  BP      6.7440e-02   2.3939e-02
   98  00:00:03   1.0062e-01     35  SN      6.9106e-02   2.3939e-02
   98  00:00:03   1.0062e-01     36  BP      6.9106e-02   2.3939e-02
  107  00:00:03   1.0895e-01     37  SN      7.5154e-02   2.3939e-02
  107  00:00:03   1.0895e-01     38  BP      7.5154e-02   2.3939e-02
  113  00:00:04   1.1500e-01     39  SN      7.9537e-02   2.3939e-02
  113  00:00:04   1.1500e-01     40  BP      7.9537e-02   2.3939e-02
  115  00:00:04   1.1710e-01     41  SN      8.1050e-02   2.3939e-02
  115  00:00:04   1.1710e-01     42  BP      8.1050e-02   2.3939e-02
  129  00:00:04   1.3024e-01     43  SN      9.0526e-02   2.3939e-02
  129  00:00:04   1.3024e-01     44  BP      9.0526e-02   2.3939e-02
  889  00:00:10   8.8890e-01     45  EP      6.2832e-01   2.3939e-02
