
 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   3.0905e-02      1  EP      1.3821e-02   2.3939e-02
    1  00:00:00   3.0905e-02      2  SN      1.3821e-02   2.3939e-02
    1  00:00:00   3.0861e-02      3  FP      1.3759e-02   2.3939e-02
  617  00:00:02   6.2847e-01      4  UZ      3.1416e-01   2.3939e-02
 1246  00:00:06   1.2567e+00      5  EP      6.2832e-01   2.3939e-02

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:06   3.0905e-02      6  EP      1.3821e-02   2.3939e-02
    1  00:00:06   3.0905e-02      7  BP      1.3821e-02   2.3939e-02
    1  00:00:06   3.0970e-02      8  FP      1.3875e-02   2.3939e-02
    2  00:00:06   3.0970e-02      9  SN      1.3875e-02   2.3939e-02
    2  00:00:06   3.0988e-02     10  FP      1.3864e-02   2.3939e-02
  617  00:00:09   6.2847e-01     11  UZ      3.1416e-01   2.3939e-02
 1246  00:00:13   1.2567e+00     12  EP      6.2832e-01   2.3939e-02
