
 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   3.0905e-02      1  EP      1.3821e-02   2.3939e-02
    1  00:00:00   3.0905e-02      2  SN      1.3821e-02   2.3939e-02
    1  00:00:00   3.0857e-02      3  FP      1.3764e-02   2.3939e-02
  532  00:00:02   5.4449e-01      4  UZ      3.1416e-01   2.3939e-02
 1077  00:00:04   1.0885e+00      5  EP      6.2832e-01   2.3939e-02

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:04   3.0905e-02      6  EP      1.3821e-02   2.3939e-02
    1  00:00:04   3.0905e-02      7  BP      1.3821e-02   2.3939e-02
    1  00:00:04   3.1017e-02      8  FP      1.3928e-02   2.3939e-02
    2  00:00:04   3.1017e-02      9  SN      1.3928e-02   2.3939e-02
    2  00:00:04   3.1024e-02     10  FP      1.3921e-02   2.3939e-02
  532  00:00:07   5.4449e-01     11  UZ      3.1416e-01   2.3939e-02
 1076  00:00:09   1.0885e+00     12  EP      6.2832e-01   2.3939e-02
