
    STEP   DAMPING               NORMS              COMPUTATION TIMES
  IT SIT     GAMMA     ||d||     ||f||     ||U||   F(x)  DF(x)  SOLVE
   0                          0.00e+00  2.39e-02    0.0    0.0    0.0

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   2.3939e-02      1  EP      0.0000e+00   2.3939e-02
   15  00:00:00   2.7804e-02      2  EP     -1.0000e-02   2.3939e-02

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   2.3939e-02      3  EP      0.0000e+00   2.3939e-02
   20  00:00:00   3.0905e-02      4  SN      1.3821e-02   2.3939e-02
   20  00:00:00   3.0905e-02      5  BP      1.3821e-02   2.3939e-02
   40  00:00:00   4.5840e-02      6  SN      2.7642e-02   2.3939e-02
   40  00:00:00   4.5840e-02      7  BP      2.7642e-02   2.3939e-02
   59  00:00:00   6.3336e-02      8  SN      4.1463e-02   2.3939e-02
   59  00:00:00   6.3336e-02      9  BP      4.1463e-02   2.3939e-02
   79  00:00:00   8.1767e-02     10  SN      5.5285e-02   2.3939e-02
   79  00:00:00   8.1767e-02     11  BP      5.5285e-02   2.3939e-02
   98  00:00:00   1.0062e-01     12  SN      6.9106e-02   2.3939e-02
   98  00:00:00   1.0062e-01     13  BP      6.9106e-02   2.3939e-02
  118  00:00:01   1.1969e-01     14  SN      8.2927e-02   2.3939e-02
  118  00:00:01   1.1969e-01     15  BP      8.2927e-02   2.3939e-02
  137  00:00:01   1.3890e-01     16  SN      9.6748e-02   2.3939e-02
  137  00:00:01   1.3890e-01     17  BP      9.6748e-02   2.3939e-02
  889  00:00:04   8.8890e-01     18  EP      6.2832e-01   2.3939e-02
