
    STEP   DAMPING               NORMS              COMPUTATION TIMES
  IT SIT     GAMMA     ||d||     ||f||     ||U||   F(x)  DF(x)  SOLVE
   0                          1.01e-03  4.25e-01    0.0    0.0    0.0
   1   1  1.00e+00  2.98e-02  1.62e-04  4.43e-01    0.0    0.0    0.0
   2   1  1.00e+00  7.77e-03  7.15e-06  4.41e-01    0.0    0.0    0.0
   3   2  5.00e-01  1.34e-02  5.90e-06  4.41e-01    0.0    0.0    0.0
   4   1  1.00e+00  7.91e-03  5.77e-06  4.41e-01    0.0    0.0    0.0
   5   1  1.00e+00  2.82e-03  8.12e-07  4.42e-01    0.0    0.0    0.0
   6   1  1.00e+00  1.20e-03  1.53e-07  4.42e-01    0.0    0.0    0.0
   7   1  1.00e+00  6.53e-05  4.59e-10  4.42e-01    0.0    0.0    0.0
   8   1  1.00e+00  7.62e-07  6.22e-14  4.42e-01    0.0    0.0    0.0

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   4.4160e-01      1  EP      2.3562e-01   3.1416e-02
  148  00:00:00   2.9469e-01      2  UZ      1.5708e-01   3.1416e-02
  296  00:00:01   1.4821e-01      3  UZ      7.8540e-02   3.1416e-02
  414  00:00:01   4.4899e-02      4  SN      2.0710e-02   3.1416e-02
  414  00:00:02   4.4944e-02      5  FP      2.0699e-02   3.1416e-02
  552  00:00:02   1.5283e-01      6  UZ      7.8540e-02   3.1416e-02
  706  00:00:03   3.0552e-01      7  UZ      1.5708e-01   3.1416e-02
  860  00:00:04   4.5830e-01      8  UZ      2.3562e-01   3.1416e-02
  933  00:00:04   5.3164e-01      9  UZ      2.7332e-01   3.1416e-02
 1624  00:00:07   1.2222e+00     10  EP      6.2832e-01   3.1416e-02

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:07   4.4160e-01     11  EP      2.3562e-01   3.1416e-02
    1  00:00:07   4.4160e-01     12  UZ      2.3562e-01   3.1416e-02
   71  00:00:08   5.1216e-01     13  UZ      2.7332e-01   3.1416e-02
  736  00:00:11   1.1769e+00     14  EP      6.2832e-01   3.1416e-02
