
 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   3.3203e-02      1  EP      1.6269e-02   2.3939e-02
    1  00:00:00   3.3203e-02      2  SN      1.6269e-02   2.3939e-02
    1  00:00:00   3.3165e-02      3  FP      1.6220e-02   2.3939e-02
   12  00:00:00   3.6155e-02      4  SN      1.7680e-02   2.3939e-02
   12  00:00:00   3.6155e-02      5  BP      1.7680e-02   2.3939e-02
   68  00:00:01   8.4145e-02      6  SN      4.0875e-02   2.3939e-02
   68  00:00:01   8.4145e-02      7  BP      4.0875e-02   2.3939e-02
  635  00:00:04   6.4766e-01      8  UZ      3.1416e-01   2.3939e-02
 1283  00:00:09   1.2953e+00      9  EP      6.2832e-01   2.3939e-02

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:09   3.3203e-02     10  EP      1.6269e-02   2.3939e-02
    1  00:00:09   3.3203e-02     11  BP      1.6269e-02   2.3939e-02
    1  00:00:09   3.3259e-02     12  FP      1.6311e-02   2.3939e-02
    2  00:00:09   3.3259e-02     13  SN      1.6311e-02   2.3939e-02
    2  00:00:10   3.3277e-02     14  FP      1.6302e-02   2.3939e-02
   11  00:00:10   3.6153e-02     15  SN      1.7679e-02   2.3939e-02
   11  00:00:10   3.6153e-02     16  BP      1.7679e-02   2.3939e-02
   68  00:00:11   8.4142e-02     17  SN      4.0873e-02   2.3939e-02
   68  00:00:11   8.4142e-02     18  BP      4.0873e-02   2.3939e-02
  635  00:00:14   6.4766e-01     19  UZ      3.1416e-01   2.3939e-02
 1283  00:00:19   1.2953e+00     20  EP      6.2832e-01   2.3939e-02
