
 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   2.9995e-02      1  EP      1.2780e-02   2.3939e-02
    1  00:00:00   2.9995e-02      2  SN      1.2780e-02   2.3939e-02
    1  00:00:00   2.9973e-02      3  FP      1.2740e-02   2.3939e-02
  796  00:00:04   8.0438e-01      4  UZ      3.4558e-01   2.3939e-02
 1454  00:00:09   1.4625e+00      5  EP      6.2832e-01   2.3939e-02

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:09   2.9995e-02      6  EP      1.2780e-02   2.3939e-02
    1  00:00:09   2.9995e-02      7  BP      1.2780e-02   2.3939e-02
    1  00:00:09   3.0041e-02      8  FP      1.2814e-02   2.3939e-02
    2  00:00:09   3.0041e-02      9  SN      1.2814e-02   2.3939e-02
    2  00:00:09   3.0064e-02     10  FP      1.2806e-02   2.3939e-02
  795  00:00:15   8.0438e-01     11  UZ      3.4558e-01   2.3939e-02
 1454  00:00:20   1.4625e+00     12  EP      6.2832e-01   2.3939e-02
