
    STEP   DAMPING               NORMS              COMPUTATION TIMES
  IT SIT     GAMMA     ||d||     ||f||     ||U||   F(x)  DF(x)  SOLVE
   0                          4.74e-06  8.41e-02    0.0    0.0    0.0
   1   1  1.00e+00  7.24e-03  1.44e-06  8.89e-02    0.0    0.0    0.0
   2   1  1.00e+00  1.41e-03  8.13e-08  8.81e-02    0.0    0.0    0.0
   3   1  1.00e+00  1.01e-04  3.51e-10  8.81e-02    0.0    0.0    0.0
   4   1  1.00e+00  4.38e-07  6.55e-15  8.81e-02    0.0    0.0    0.0

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   8.8094e-02      1  EP      4.0875e-02   2.3939e-02
   66  00:00:00   3.2950e-02      2  SN      1.5015e-02   2.3939e-02
   66  00:00:00   3.2950e-02      3  BP      1.5016e-02   2.3939e-02
   73  00:00:00   3.1560e-02      4  SN      1.4540e-02   2.3939e-02
   73  00:00:00   3.0344e-02      5  BP      1.3054e-02   2.3939e-02
  109  00:00:01   2.7819e-02      6  EP     -1.0001e-02   2.3939e-02

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:01   8.8094e-02      7  EP      4.0875e-02   2.3939e-02
   61  00:00:01   1.4744e-01      8  SN      6.8285e-02   2.3939e-02
   61  00:00:01   1.4744e-01      9  BP      6.8285e-02   2.3939e-02
  662  00:00:06   7.4665e-01     10  UZ      3.4558e-01   2.3939e-02
 1273  00:00:10   1.3576e+00     11  EP      6.2832e-01   2.3939e-02
