
    STEP   DAMPING               NORMS              COMPUTATION TIMES
  IT SIT     GAMMA     ||d||     ||f||     ||U||   F(x)  DF(x)  SOLVE
   0                          1.77e-07  3.62e-02    0.0    0.0    0.0

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   3.6153e-02      1  EP      1.7679e-02   2.3939e-02
    2  00:00:00   3.5531e-02      2  SN      1.7538e-02   2.3939e-02
    2  00:00:00   3.5501e-02      3  FP      1.7537e-02   2.3939e-02
   11  00:00:00   3.5979e-02      4  HB      1.8829e-02   2.3939e-02
   20  00:00:00   4.0184e-02      5  SN      2.2819e-02   2.3939e-02
   20  00:00:00   4.0303e-02      6  BP      2.2906e-02   2.3939e-02
   40  00:00:00   4.8745e-02      7  SN      2.8182e-02   2.3939e-02
   40  00:00:00   4.8745e-02      8  BP      2.8182e-02   2.3939e-02
  643  00:00:05   6.4265e-01      9  UZ      3.4558e-01   2.3939e-02
 1170  00:00:08   1.1688e+00     10  EP      6.2832e-01   2.3939e-02

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:08   3.6153e-02     11  EP      1.7679e-02   2.3939e-02
    3  00:00:08   3.6840e-02     12  SN      1.7513e-02   2.3939e-02
    3  00:00:09   3.7241e-02     13  BP      1.7993e-02   2.3939e-02
  121  00:00:10   1.4535e-01     14  SN      6.7327e-02   2.3939e-02
  121  00:00:10   1.4535e-01     15  BP      6.7327e-02   2.3939e-02
  724  00:00:14   7.4665e-01     16  UZ      3.4558e-01   2.3939e-02
 1335  00:00:19   1.3576e+00     17  EP      6.2832e-01   2.3939e-02
