
    STEP   DAMPING               NORMS              COMPUTATION TIMES
  IT SIT     GAMMA     ||d||     ||f||     ||U||   F(x)  DF(x)  SOLVE
   0                          0.00e+00  2.39e-02    0.0    0.0    0.0

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   2.3939e-02      1  EP      0.0000e+00   2.3939e-02
   15  00:00:00   2.7804e-02      2  EP     -1.0000e-02   2.3939e-02

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   2.3939e-02      3  EP      0.0000e+00   2.3939e-02
   19  00:00:00   2.9995e-02      4  SN      1.2780e-02   2.3939e-02
   19  00:00:00   2.9995e-02      5  BP      1.2780e-02   2.3939e-02
   22  00:00:00   3.1884e-02      6  SN      1.4892e-02   2.3939e-02
   22  00:00:00   3.1884e-02      7  BP      1.4892e-02   2.3939e-02
   27  00:00:00   3.5450e-02      8  HB      1.8488e-02   2.3939e-02
   33  00:00:00   4.0261e-02      9  SN      2.2889e-02   2.3939e-02
   33  00:00:00   4.0261e-02     10  BP      2.2889e-02   2.3939e-02
   37  00:00:01   4.3345e-02     11  SN      2.5551e-02   2.3939e-02
   37  00:00:01   4.3345e-02     12  BP      2.5551e-02   2.3939e-02
   44  00:00:01   4.9254e-02     13  SN      3.0438e-02   2.3939e-02
   44  00:00:01   4.9254e-02     14  BP      3.0438e-02   2.3939e-02
   45  00:00:01   5.0947e-02     15  HB      3.1800e-02   2.3939e-02
   51  00:00:01   5.5867e-02     16  SN      3.5693e-02   2.3939e-02
   51  00:00:01   5.5867e-02     17  BP      3.5693e-02   2.3939e-02
   55  00:00:01   5.9377e-02     18  SN      3.8422e-02   2.3939e-02
   55  00:00:01   5.9377e-02     19  BP      3.8422e-02   2.3939e-02
   62  00:00:02   6.6158e-02     20  SN      4.3611e-02   2.3939e-02
   62  00:00:02   6.6158e-02     21  BP      4.3611e-02   2.3939e-02
   70  00:00:02   7.3214e-02     22  SN      4.8924e-02   2.3939e-02
   70  00:00:02   7.3214e-02     23  BP      4.8924e-02   2.3939e-02
   73  00:00:02   7.6392e-02     24  SN      5.1297e-02   2.3939e-02
   73  00:00:02   7.6392e-02     25  BP      5.1297e-02   2.3939e-02
   83  00:00:02   8.5728e-02     26  SN      5.8208e-02   2.3939e-02
   83  00:00:02   8.5728e-02     27  BP      5.8208e-02   2.3939e-02
   88  00:00:02   9.0536e-02     28  SN      6.1740e-02   2.3939e-02
   88  00:00:02   9.0536e-02     29  BP      6.1740e-02   2.3939e-02
   92  00:00:03   9.4212e-02     30  SN      6.4431e-02   2.3939e-02
   92  00:00:03   9.4212e-02     31  BP      6.4431e-02   2.3939e-02
  101  00:00:03   1.0346e-01     32  HB      7.1169e-02   2.3939e-02
  102  00:00:03   1.0458e-01     33  SN      7.1987e-02   2.3939e-02
  102  00:00:03   1.0458e-01     34  BP      7.1987e-02   2.3939e-02
  106  00:00:03   1.0814e-01     35  SN      7.4572e-02   2.3939e-02
  106  00:00:03   1.0814e-01     36  BP      7.4572e-02   2.3939e-02
  111  00:00:03   1.1265e-01     37  SN      7.7839e-02   2.3939e-02
  111  00:00:03   1.1265e-01     38  BP      7.7839e-02   2.3939e-02
  120  00:00:03   1.2190e-01     39  HB      8.4514e-02   2.3939e-02
  122  00:00:04   1.2356e-01     40  SN      8.5715e-02   2.3939e-02
  122  00:00:04   1.2356e-01     41  BP      8.5715e-02   2.3939e-02
  124  00:00:04   1.2584e-01     42  SN      8.7358e-02   2.3939e-02
  124  00:00:04   1.2584e-01     43  BP      8.7358e-02   2.3939e-02
  130  00:00:04   1.3205e-01     44  SN      9.1827e-02   2.3939e-02
  130  00:00:04   1.3205e-01     45  BP      9.1827e-02   2.3939e-02
  889  00:00:09   8.8890e-01     46  EP      6.2832e-01   2.3939e-02
