
 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   3.8966e-02      1  EP      1.6300e-02   3.1416e-02
    1  00:00:00   3.8966e-02      2  SN      1.6300e-02   3.1416e-02
    1  00:00:00   3.8958e-02      3  FP      1.6288e-02   3.1416e-02
 1291  00:00:05   6.5927e-01      4  UZ      3.1416e-01   3.1416e-02
 1621  00:00:06   8.2401e-01      5  EP      3.9270e-01   3.1416e-02

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:06   3.8966e-02      6  EP      1.6300e-02   3.1416e-02
    1  00:00:07   3.8966e-02      7  BP      1.6300e-02   3.1416e-02
    1  00:00:07   3.8978e-02      8  FP      1.6310e-02   3.1416e-02
    2  00:00:07   3.8978e-02      9  SN      1.6310e-02   3.1416e-02
    2  00:00:07   3.8982e-02     10  FP      1.6308e-02   3.1416e-02
 1291  00:00:14   6.5927e-01     11  UZ      3.1416e-01   3.1416e-02
 1621  00:00:15   8.2401e-01     12  EP      3.9270e-01   3.1416e-02
