
 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   8.1569e-02      1  EP      4.8601e-02   3.1416e-02
    1  00:00:00   8.1569e-02      2  SN      4.8601e-02   3.1416e-02
    1  00:00:00   8.1544e-02      3  FP      4.8590e-02   3.1416e-02
  882  00:00:03   5.0869e-01      4  UZ      3.1416e-01   3.1416e-02
 1136  00:00:04   6.3546e-01      5  EP      3.9270e-01   3.1416e-02

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:05   8.1569e-02      6  EP      4.8601e-02   3.1416e-02
    1  00:00:05   8.1569e-02      7  BP      4.8601e-02   3.1416e-02
    1  00:00:05   8.1594e-02      8  FP      4.8610e-02   3.1416e-02
    2  00:00:05   8.2064e-02      9  SN      4.8891e-02   3.1416e-02
    2  00:00:05   8.1572e-02     10  FP      4.8592e-02   3.1416e-02
  965  00:00:10   5.4713e-01     11  UZ      3.1416e-01   3.1416e-02
 1239  00:00:11   6.8409e-01     12  EP      3.9270e-01   3.1416e-02
