
 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   6.0621e-02      1  EP      3.5455e-02   3.1416e-02
    1  00:00:00   6.0621e-02      2  SN      3.5455e-02   3.1416e-02
    1  00:00:00   6.0530e-02      3  FP      3.5408e-02   3.1416e-02
    2  00:00:00   6.0598e-02      4  SN      3.5464e-02   3.1416e-02
    2  00:00:00   6.0634e-02      5  FP      3.5495e-02   3.1416e-02
    4  00:00:00   6.0585e-02      6  SN      3.5482e-02   3.1416e-02
    4  00:00:00   6.0568e-02      7  FP      3.5481e-02   3.1416e-02
 1984  00:00:10   1.0060e+00      8  UZ      5.4271e-01   3.1416e-02
 2302  00:00:13   1.1649e+00      9  EP      6.2832e-01   3.1416e-02

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:13   6.0621e-02     10  EP      3.5455e-02   3.1416e-02
    1  00:00:13   6.0621e-02     11  BP      3.5455e-02   3.1416e-02
    1  00:00:13   6.0714e-02     12  FP      3.5503e-02   3.1416e-02
    2  00:00:13   6.0661e-02     13  SN      3.5458e-02   3.1416e-02
    2  00:00:13   6.0618e-02     14  FP      3.5420e-02   3.1416e-02
 1887  00:00:25   9.5835e-01     15  UZ      5.4271e-01   3.1416e-02
 2190  00:00:27   1.1099e+00     16  EP      6.2832e-01   3.1416e-02
