
 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   7.6388e-02      1  EP      4.9235e-02   3.1416e-02
    1  00:00:00   7.6388e-02      2  SN      4.9235e-02   3.1416e-02
    1  00:00:00   7.6351e-02      3  FP      4.9206e-02   3.1416e-02
   30  00:00:00   8.3502e-02      4  SN      5.4032e-02   3.1416e-02
   30  00:00:00   8.3502e-02      5  BP      5.4032e-02   3.1416e-02
 1520  00:00:06   8.2068e-01      6  UZ      5.4271e-01   3.1416e-02
 1779  00:00:08   9.5008e-01      7  EP      6.2832e-01   3.1416e-02

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:08   7.6388e-02      8  EP      4.9235e-02   3.1416e-02
    1  00:00:08   7.6388e-02      9  BP      4.9235e-02   3.1416e-02
    1  00:00:08   7.6423e-02     10  FP      4.9261e-02   3.1416e-02
    2  00:00:08   7.6423e-02     11  SN      4.9261e-02   3.1416e-02
    2  00:00:08   7.6419e-02     12  FP      4.9255e-02   3.1416e-02
   29  00:00:08   8.3501e-02     13  SN      5.4031e-02   3.1416e-02
   29  00:00:09   8.3501e-02     14  BP      5.4031e-02   3.1416e-02
 1520  00:00:16   8.2068e-01     15  UZ      5.4271e-01   3.1416e-02
 1779  00:00:17   9.5008e-01     16  EP      6.2832e-01   3.1416e-02
