
 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   1.3205e-01      1  EP      9.0690e-02   3.1416e-02
    1  00:00:00   1.3205e-01      2  SN      9.0690e-02   3.1416e-02
    1  00:00:00   1.3191e-01      3  FP      9.0588e-02   3.1416e-02
   19  00:00:00   1.4162e-01      4  SN      9.7389e-02   3.1416e-02
   19  00:00:00   1.4162e-01      5  BP      9.7389e-02   3.1416e-02
  335  00:00:02   4.5345e-01      6  UZ      3.1416e-01   3.1416e-02
  788  00:00:04   9.0636e-01      7  EP      6.2832e-01   3.1416e-02

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:04   1.3205e-01      8  EP      9.0690e-02   3.1416e-02
    1  00:00:04   1.3205e-01      9  BP      9.0690e-02   3.1416e-02
    1  00:00:04   1.3219e-01     10  FP      9.0790e-02   3.1416e-02
    2  00:00:04   1.3216e-01     11  SN      9.0770e-02   3.1416e-02
    2  00:00:04   1.3211e-01     12  FP      9.0732e-02   3.1416e-02
   19  00:00:04   1.4163e-01     13  SN      9.7392e-02   3.1416e-02
   19  00:00:04   1.4163e-01     14  BP      9.7392e-02   3.1416e-02
  335  00:00:06   4.5345e-01     15  UZ      3.1416e-01   3.1416e-02
  788  00:00:08   9.0636e-01     16  EP      6.2832e-01   3.1416e-02
