
 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   1.0731e-01      1  EP      7.2552e-02   3.1416e-02
    1  00:00:00   1.0731e-01      2  SN      7.2552e-02   3.1416e-02
    1  00:00:00   1.0710e-01      3  FP      7.2401e-02   3.1416e-02
  357  00:00:01   4.5191e-01      4  UZ      3.1416e-01   3.1416e-02
  808  00:00:03   9.0272e-01      5  EP      6.2832e-01   3.1416e-02

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:03   1.0731e-01      6  EP      7.2552e-02   3.1416e-02
    1  00:00:03   1.0731e-01      7  BP      7.2552e-02   3.1416e-02
    1  00:00:03   1.0751e-01      8  FP      7.2703e-02   3.1416e-02
    2  00:00:03   1.0747e-01      9  SN      7.2672e-02   3.1416e-02
    2  00:00:03   1.0739e-01     10  FP      7.2611e-02   3.1416e-02
  357  00:00:05   4.5191e-01     11  UZ      3.1416e-01   3.1416e-02
  808  00:00:07   9.0272e-01     12  EP      6.2832e-01   3.1416e-02
