
    STEP   DAMPING               NORMS              COMPUTATION TIMES
  IT SIT     GAMMA     ||d||     ||f||     ||U||   F(x)  DF(x)  SOLVE
   0                          0.00e+00  3.14e-02    0.0    0.0    0.0

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   3.1416e-02      1  EP      0.0000e+00   3.1416e-02
   15  00:00:00   3.4452e-02      2  EP     -1.0000e-02   3.1416e-02

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   3.1416e-02      3  EP      0.0000e+00   3.1416e-02
   26  00:00:00   4.0558e-02      4  SN      1.8138e-02   3.1416e-02
   26  00:00:00   4.0558e-02      5  BP      1.8138e-02   3.1416e-02
   52  00:00:00   6.0157e-02      6  SN      3.6276e-02   3.1416e-02
   52  00:00:00   6.0157e-02      7  BP      3.6276e-02   3.1416e-02
   77  00:00:00   8.3119e-02      8  SN      5.4414e-02   3.1416e-02
   77  00:00:00   8.3119e-02      9  BP      5.4414e-02   3.1416e-02
  103  00:00:00   1.0731e-01     10  SN      7.2552e-02   3.1416e-02
  103  00:00:00   1.0731e-01     11  BP      7.2552e-02   3.1416e-02
  129  00:00:01   1.3205e-01     12  SN      9.0690e-02   3.1416e-02
  129  00:00:01   1.3205e-01     13  BP      9.0690e-02   3.1416e-02
  154  00:00:01   1.5708e-01     14  SN      1.0883e-01   3.1416e-02
  154  00:00:01   1.5708e-01     15  BP      1.0883e-01   3.1416e-02
  180  00:00:01   1.8228e-01     16  SN      1.2697e-01   3.1416e-02
  180  00:00:01   1.8228e-01     17  BP      1.2697e-01   3.1416e-02
  445  00:00:02   4.4540e-01     18  UZ      3.1416e-01   3.1416e-02
  889  00:00:04   8.8913e-01     19  EP      6.2832e-01   3.1416e-02
