
 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   3.8354e-02      1  EP      1.5558e-02   3.1416e-02
    1  00:00:00   3.8354e-02      2  SN      1.5558e-02   3.1416e-02
    1  00:00:00   3.8346e-02      3  FP      1.5545e-02   3.1416e-02
  281  00:00:01   1.5551e-01      4  SN      7.3152e-02   3.1416e-02
  281  00:00:01   1.5551e-01      5  BP      7.3152e-02   3.1416e-02
 1303  00:00:06   6.6440e-01      6  UZ      3.1416e-01   3.1416e-02
 1636  00:00:09   8.3041e-01      7  EP      3.9270e-01   3.1416e-02

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:09   3.8354e-02      8  EP      1.5558e-02   3.1416e-02
    1  00:00:09   3.8354e-02      9  BP      1.5558e-02   3.1416e-02
    1  00:00:09   3.8366e-02     10  FP      1.5568e-02   3.1416e-02
    2  00:00:09   3.8366e-02     11  SN      1.5568e-02   3.1416e-02
    2  00:00:09   3.8370e-02     12  FP      1.5566e-02   3.1416e-02
  280  00:00:11   1.5551e-01     13  SN      7.3152e-02   3.1416e-02
  280  00:00:11   1.5551e-01     14  BP      7.3152e-02   3.1416e-02
 1303  00:00:17   6.6440e-01     15  UZ      3.1416e-01   3.1416e-02
 1636  00:00:19   8.3041e-01     16  EP      3.9270e-01   3.1416e-02
