
    STEP   DAMPING               NORMS              COMPUTATION TIMES
  IT SIT     GAMMA     ||d||     ||f||     ||U||   F(x)  DF(x)  SOLVE
   0                          0.00e+00  3.14e-02    0.0    0.0    0.0

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   3.1416e-02      1  EP      0.0000e+00   3.1416e-02
   29  00:00:00   3.4452e-02      2  EP     -1.0000e-02   3.1416e-02

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   3.1416e-02      3  EP      0.0000e+00   3.1416e-02
   45  00:00:00   3.8354e-02      4  SN      1.5558e-02   3.1416e-02
   45  00:00:00   3.8354e-02      5  BP      1.5558e-02   3.1416e-02
   51  00:00:01   4.0330e-02      6  SN      1.7882e-02   3.1416e-02
   51  00:00:01   4.0330e-02      7  BP      1.7882e-02   3.1416e-02
   75  00:00:01   4.8625e-02      8  SN      2.6244e-02   3.1416e-02
   75  00:00:01   4.8625e-02      9  BP      2.6244e-02   3.1416e-02
   82  00:00:01   5.1281e-02     10  SN      2.8660e-02   3.1416e-02
   82  00:00:01   5.1281e-02     11  BP      2.8660e-02   3.1416e-02
  103  00:00:01   6.0157e-02     12  SN      3.6276e-02   3.1416e-02
  103  00:00:01   6.0157e-02     13  BP      3.6276e-02   3.1416e-02
  106  00:00:01   6.1504e-02     14  SN      3.7389e-02   3.1416e-02
  106  00:00:01   6.1504e-02     15  BP      3.7389e-02   3.1416e-02
  181  00:00:02   9.5554e-02     16  SN      6.3810e-02   3.1416e-02
  181  00:00:02   9.5554e-02     17  BP      6.3810e-02   3.1416e-02
  189  00:00:02   9.9184e-02     18  SN      6.6523e-02   3.1416e-02
  189  00:00:02   9.9184e-02     19  BP      6.6523e-02   3.1416e-02
  206  00:00:02   1.0731e-01     20  SN      7.2552e-02   3.1416e-02
  206  00:00:02   1.0731e-01     21  BP      7.2552e-02   3.1416e-02
  218  00:00:02   1.1333e-01     22  SN      7.6997e-02   3.1416e-02
  218  00:00:02   1.1333e-01     23  BP      7.6997e-02   3.1416e-02
  236  00:00:03   1.2182e-01     24  SN      8.3226e-02   3.1416e-02
  236  00:00:03   1.2182e-01     25  BP      8.3226e-02   3.1416e-02
  241  00:00:03   1.2424e-01     26  SN      8.4997e-02   3.1416e-02
  241  00:00:03   1.2424e-01     27  BP      8.4997e-02   3.1416e-02
  285  00:00:03   1.4560e-01     28  SN      1.0053e-01   3.1416e-02
  285  00:00:03   1.4560e-01     29  BP      1.0053e-01   3.1416e-02
  336  00:00:04   1.7045e-01     30  SN      1.1846e-01   3.1416e-02
  336  00:00:04   1.7045e-01     31  BP      1.1846e-01   3.1416e-02
  889  00:00:07   4.4540e-01     32  UZ      3.1416e-01   3.1416e-02
 1111  00:00:08   5.5625e-01     33  EP      3.9270e-01   3.1416e-02
