
    STEP   DAMPING               NORMS              COMPUTATION TIMES
  IT SIT     GAMMA     ||d||     ||f||     ||U||   F(x)  DF(x)  SOLVE
   0                          0.00e+00  3.14e-02    0.0    0.0    0.0

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   3.1416e-02      1  EP      0.0000e+00   3.1416e-02
   15  00:00:00   3.4452e-02      2  EP     -1.0000e-02   3.1416e-02

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   3.1416e-02      3  EP      0.0000e+00   3.1416e-02
   24  00:00:00   3.9186e-02      4  SN      1.6562e-02   3.1416e-02
   24  00:00:00   3.9186e-02      5  BP      1.6562e-02   3.1416e-02
   29  00:00:00   4.2370e-02      6  SN      2.0103e-02   3.1416e-02
   29  00:00:00   4.2370e-02      7  BP      2.0103e-02   3.1416e-02
   36  00:00:01   4.7089e-02      8  SN      2.4804e-02   3.1416e-02
   36  00:00:01   4.7089e-02      9  BP      2.4804e-02   3.1416e-02
   37  00:00:01   4.7986e-02     10  SN      2.5648e-02   3.1416e-02
   37  00:00:01   4.7986e-02     11  BP      2.5648e-02   3.1416e-02
   43  00:00:01   5.2757e-02     12  SN      2.9969e-02   3.1416e-02
   43  00:00:01   5.2757e-02     13  BP      2.9969e-02   3.1416e-02
   47  00:00:01   5.6497e-02     14  SN      3.3204e-02   3.1416e-02
   47  00:00:01   5.6497e-02     15  BP      3.3204e-02   3.1416e-02
   58  00:00:01   6.5147e-02     16  SN      4.0355e-02   3.1416e-02
   58  00:00:01   6.5147e-02     17  BP      4.0355e-02   3.1416e-02
   61  00:00:01   6.8368e-02     18  BP      4.2937e-02   3.1416e-02
   61  00:00:01   6.8368e-02     19  SN      4.2937e-02   3.1416e-02
   63  00:00:01   7.0235e-02     20  BP      4.4418e-02   3.1416e-02
   63  00:00:01   7.0235e-02     21  SN      4.4418e-02   3.1416e-02
   68  00:00:02   7.4053e-02     22  SN      4.7417e-02   3.1416e-02
   68  00:00:02   7.4053e-02     23  BP      4.7417e-02   3.1416e-02
   71  00:00:02   7.7332e-02     24  SN      4.9967e-02   3.1416e-02
   71  00:00:02   7.7332e-02     25  BP      4.9967e-02   3.1416e-02
 1333  00:00:07   1.3332e+00     26  EP      9.4248e-01   3.1416e-02
