
 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   1.5158e-01      1  EP      8.5257e-02   3.1416e-02
    1  00:00:00   1.5112e-01      2  BP      8.5005e-02   3.1416e-02
   15  00:00:00   1.3930e-01      3  UZ      7.8540e-02   3.1416e-02
   71  00:00:00   8.6549e-02      4  HB      5.0042e-02   3.1416e-02
   99  00:00:00   6.4863e-02      5  SN      3.8517e-02   3.1416e-02
   99  00:00:00   6.4863e-02      6  BP      3.8517e-02   3.1416e-02
  118  00:00:00   5.6237e-02      7  SN      3.2957e-02   3.1416e-02
  118  00:00:00   5.6126e-02      8  BP      3.2853e-02   3.1416e-02
  127  00:00:00   5.0248e-02      9  HB      2.7724e-02   3.1416e-02
  135  00:00:01   4.4242e-02     10  SN      2.2024e-02   3.1416e-02
  135  00:00:01   4.4242e-02     11  BP      2.2024e-02   3.1416e-02
  140  00:00:01   4.0564e-02     12  SN      1.8142e-02   3.1416e-02
  140  00:00:01   4.0564e-02     13  BP      1.8142e-02   3.1416e-02
  180  00:00:01   3.4454e-02     14  EP     -1.0000e-02   3.1416e-02

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:01   1.5158e-01     15  EP      8.5257e-02   3.1416e-02
  135  00:00:03   2.8202e-01     16  UZ      1.5708e-01   3.1416e-02
  277  00:00:03   4.2400e-01     17  UZ      2.3562e-01   3.1416e-02
  419  00:00:04   5.6578e-01     18  UZ      3.1416e-01   3.1416e-02
  561  00:00:05   7.0748e-01     19  EP      3.9270e-01   3.1416e-02
