
 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   5.0222e-02      1  EP      2.7706e-02   3.1416e-02
    1  00:00:00   5.0222e-02      2  HB      2.7706e-02   3.1416e-02
    1  00:00:00   5.0222e-02      3  BP      2.7706e-02   3.1416e-02
    1  00:00:00   5.0182e-02      4  FP      2.7669e-02   3.1416e-02
    2  00:00:00   5.0228e-02      5  SN      2.7706e-02   3.1416e-02
    2  00:00:00   5.0228e-02      6  BP      2.7706e-02   3.1416e-02
   26  00:00:00   6.3327e-02      7  SN      3.6042e-02   3.1416e-02
   26  00:00:00   6.3327e-02      8  BP      3.6042e-02   3.1416e-02
   48  00:00:00   8.2523e-02      9  SN      4.7989e-02   3.1416e-02
   48  00:00:00   8.2523e-02     10  BP      4.7989e-02   3.1416e-02
   50  00:00:01   8.3679e-02     11  SN      4.8702e-02   3.1416e-02
   50  00:00:01   8.3679e-02     12  BP      4.8702e-02   3.1416e-02
   61  00:00:01   9.3635e-02     13  SN      5.4817e-02   3.1416e-02
   61  00:00:01   9.3635e-02     14  BP      5.4817e-02   3.1416e-02
  101  00:00:01   1.3262e-01     15  UZ      7.8540e-02   3.1416e-02
  234  00:00:02   2.6303e-01     16  UZ      1.5708e-01   3.1416e-02
  365  00:00:02   3.9394e-01     17  UZ      2.3562e-01   3.1416e-02
  497  00:00:04   5.2496e-01     18  UZ      3.1416e-01   3.1416e-02
  628  00:00:05   6.5604e-01     19  EP      3.9270e-01   3.1416e-02

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:05   5.0222e-02     20  EP      2.7706e-02   3.1416e-02
    1  00:00:05   5.0222e-02     21  BP      2.7706e-02   3.1416e-02
    1  00:00:05   5.0307e-02     22  FP      2.7775e-02   3.1416e-02
    2  00:00:05   5.0307e-02     23  SN      2.7775e-02   3.1416e-02
    2  00:00:05   5.0310e-02     24  FP      2.7764e-02   3.1416e-02
   26  00:00:06   6.3325e-02     25  SN      3.6042e-02   3.1416e-02
   26  00:00:06   6.3325e-02     26  BP      3.6042e-02   3.1416e-02
   48  00:00:06   8.2523e-02     27  SN      4.7989e-02   3.1416e-02
   48  00:00:06   8.2523e-02     28  BP      4.7989e-02   3.1416e-02
   49  00:00:06   8.3679e-02     29  SN      4.8702e-02   3.1416e-02
   49  00:00:06   8.3679e-02     30  BP      4.8702e-02   3.1416e-02
   60  00:00:06   9.3635e-02     31  SN      5.4817e-02   3.1416e-02
   60  00:00:06   9.3635e-02     32  BP      5.4817e-02   3.1416e-02
  100  00:00:07   1.3262e-01     33  UZ      7.8540e-02   3.1416e-02
  233  00:00:07   2.6303e-01     34  UZ      1.5708e-01   3.1416e-02
  364  00:00:08   3.9394e-01     35  UZ      2.3562e-01   3.1416e-02
  496  00:00:09   5.2496e-01     36  UZ      3.1416e-01   3.1416e-02
  627  00:00:10   6.5604e-01     37  EP      3.9270e-01   3.1416e-02
