
 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:00   6.0167e-02      1  EP      3.1119e-02   3.1416e-02
    1  00:00:00   6.0167e-02      2  SN      3.1119e-02   3.1416e-02
    1  00:00:00   6.0167e-02      3  BP      3.1119e-02   3.1416e-02
    1  00:00:00   6.0054e-02      4  FP      3.1031e-02   3.1416e-02
  117  00:00:00   1.4708e-01      5  UZ      7.8540e-02   3.1416e-02
  266  00:00:01   2.9389e-01      6  UZ      1.5708e-01   3.1416e-02
  413  00:00:02   4.4081e-01      7  UZ      2.3562e-01   3.1416e-02
  560  00:00:03   5.8774e-01      8  UZ      3.1416e-01   3.1416e-02
  707  00:00:03   7.3467e-01      9  EP      3.9270e-01   3.1416e-02

 STEP      TIME        ||U||  LABEL  TYPE             b            t
    0  00:00:03   6.0167e-02     10  EP      3.1119e-02   3.1416e-02
    1  00:00:03   6.0283e-02     11  FP      3.1207e-02   3.1416e-02
    2  00:00:04   6.0244e-02     12  SN      3.1190e-02   3.1416e-02
    2  00:00:04   6.0173e-02     13  FP      3.1158e-02   3.1416e-02
  112  00:00:04   1.4707e-01     14  UZ      7.8540e-02   3.1416e-02
  261  00:00:05   2.9389e-01     15  UZ      1.5708e-01   3.1416e-02
  408  00:00:06   4.4081e-01     16  UZ      2.3562e-01   3.1416e-02
  555  00:00:07   5.8774e-01     17  UZ      3.1416e-01   3.1416e-02
  702  00:00:08   7.3467e-01     18  EP      3.9270e-01   3.1416e-02
